"elapsed_s","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib","working_set_gib"
"0.1","60","14429","16376","39.583"
"1.19","22","14429","16376","42.365"
"2.29","48","14555","16376","43.733"
"3.37","46","14555","16376","45.109"
"4.46","51","14555","16376","46.148"
"5.54","42","14555","16376","46.813"
"6.63","55","14555","16376","47.369"
"7.71","46","14555","16376","48.011"
"8.79","70","14625","16376","48.309"
"9.88","47","14625","16376","48.597"
"10.96","55","14625","16376","48.757"
"12.03","60","14625","16376","48.857"
"13.11","66","14625","16376","48.956"
"14.2","50","14625","16376","49.012"
"15.29","65","14625","16376","49.06"
"16.39","91","14625","16376","49.239"
"17.47","58","14625","16376","49.324"
"18.56","56","14625","16376","49.386"
"19.64","82","14625","16376","49.424"
"20.72","66","14625","16376","49.489"
"21.81","60","14625","16376","49.52"
"22.9","81","14625","16376","49.54"
"23.98","59","14625","16376","49.742"
"25.06","51","14625","16376","49.781"
"26.14","70","14625","16376","49.84"
"27.23","92","14625","16376","49.868"
"28.31","62","14625","16376","49.889"
"29.4","71","14625","16376","49.902"
"30.49","85","14625","16376","49.929"
"31.58","62","14625","16376","49.979"
"32.67","59","14625","16376","50"
"33.75","63","14625","16376","50.139"
"34.83","72","14625","16376","50.845"
"35.92","43","14625","16376","51.242"
"37.01","58","14625","16376","51.393"
"38.1","75","14625","16376","51.452"
"39.18","54","14625","16376","51.566"
"40.27","93","14625","16376","51.672"
"41.35","57","14625","16376","51.712"
"42.44","64","14625","16376","51.729"
"43.52","72","14625","16376","51.751"
"44.6","76","14625","16376","51.763"
"45.68","74","14625","16376","51.771"
"46.78","56","14625","16376","51.774"
"47.86","83","14625","16376","51.778"
"48.94","66","14625","16376","51.815"
"50.03","62","14625","16376","51.817"
"51.09","81","14625","16376","51.815"
"52.17","80","14625","16376","51.842"
"53.26","60","14625","16376","51.857"
"54.33","60","14625","16376","51.864"
"55.41","97","14625","16376","51.882"
"56.5","62","14625","16376","51.904"
"57.58","50","14625","16376","51.908"
"58.66","74","14625","16376","51.917"
"59.75","97","14625","16376","51.956"
"60.82","89","14625","16376","52.008"
"61.9","56","14625","16376","52.018"
"62.98","57","14625","16376","52.029"
"64.06","97","14625","16376","52.033"
"65.16","64","14625","16376","52.043"
"66.24","78","14625","16376","52.048"
"67.32","62","14625","16376","52.054"
"68.4","88","14625","16376","52.079"
"69.49","82","14625","16376","52.088"
"70.57","62","14625","16376","52.091"
"71.65","78","14625","16376","52.093"
"72.73","90","14625","16376","52.098"
"73.82","57","14625","16376","52.1"
"74.91","58","14625","16376","52.102"
"75.99","62","14625","16376","52.144"
"77.07","70","14625","16376","52.31"
"78.13","61","14625","16376","52.398"
"79.22","63","14625","16376","52.435"
"80.3","61","14625","16376","52.456"
"81.39","59","14625","16376","52.49"
"82.48","91","14625","16376","52.524"
"83.56","93","14625","16376","52.537"
"84.65","99","14625","16376","52.537"
"85.73","92","14625","16376","52.541"
"86.81","37","14625","16376","52.547"
"87.89","82","14625","16376","52.556"
"88.98","63","14625","16376","52.557"
"90.07","62","14625","16376","52.562"
"91.13","97","14625","16376","52.563"
"92.22","73","14625","16376","52.587"
"93.3","62","14625","16376","52.59"
"94.38","62","14625","16376","52.595"
"95.47","98","14625","16376","52.595"
"96.55","100","14625","16376","52.602"
"97.63","61","14625","16376","52.602"
"98.71","61","14625","16376","52.604"
"99.78","89","14625","16376","52.606"
"100.87","75","14625","16376","52.617"
"101.96","61","14625","16376","52.623"
"103.03","63","14625","16376","52.628"
"104.11","73","14625","16376","52.633"
"105.19","79","14625","16376","52.639"
"106.28","69","14625","16376","52.646"
"107.37","61","14625","16376","52.646"
"108.46","63","14625","16376","52.645"
"109.54","95","14625","16376","52.65"
"110.62","61","14625","16376","52.655"
"111.7","56","14625","16376","52.655"
"112.79","64","14625","16376","52.655"
"113.85","97","14625","16376","52.667"
"114.93","64","14625","16376","52.681"
"116.02","61","14625","16376","52.682"
"117.1","100","14625","16376","52.689"
"118.19","30","14625","16376","52.695"
"119.26","100","14625","16376","52.695"
"120.34","76","14625","16376","52.702"
"121.42","68","14625","16376","52.702"
"122.5","19","14625","16376","52.702"
"123.58","100","14625","16376","52.702"
"124.66","90","14625","16376","52.702"
"125.74","60","14625","16376","52.702"
"126.82","62","14625","16376","52.702"
"127.9","85","14625","16376","52.703"
"128.98","60","14625","16376","52.705"
"130.06","58","14625","16376","52.705"
"131.13","59","14625","16376","52.712"
"132.2","98","14625","16376","52.714"
"133.27","79","14625","16376","52.716"
"134.36","62","14625","16376","52.719"
"135.45","99","14625","16376","52.719"
"136.51","38","14625","16376","52.719"
"137.59","83","14625","16376","52.752"
"138.68","73","14625","16376","52.76"
"139.76","91","14625","16376","52.76"
"140.84","58","14625","16376","52.765"
"141.92","99","14625","16376","52.765"
"143","81","14625","16376","52.769"
"144.07","62","14625","16376","52.774"
"145.16","60","14625","16376","52.774"
"146.23","92","14625","16376","52.776"
"147.3","15","14625","16376","52.776"
"148.39","65","14625","16376","52.776"
"149.48","58","14625","16376","52.776"
"150.57","57","14625","16376","52.778"
"151.64","84","14625","16376","52.778"
"152.7","100","14625","16376","52.779"
"153.78","81","14625","16376","52.781"
"154.86","60","14625","16376","52.781"
"155.94","100","14625","16376","52.782"
"157.01","41","14625","16376","52.784"
"158.07","87","14625","16376","52.784"
"159.16","88","14625","16376","52.792"
"160.24","100","14625","16376","52.792"
"161.32","61","14625","16376","52.792"
"162.38","84","14625","16376","52.793"
"163.46","87","14625","16376","52.795"
"164.54","59","14625","16376","52.797"
"165.62","66","14625","16376","52.797"
"166.7","90","14625","16376","52.797"
"167.78","100","14625","16376","52.842"
"168.87","71","14625","16376","53.116"
"169.96","56","14625","16376","53.251"
"171.05","82","14625","16376","53.328"
"172.12","51","14625","16376","53.352"
"173.21","100","14625","16376","53.372"
"174.28","60","14625","16376","53.393"
"175.38","100","14625","16376","53.413"
"176.46","100","14625","16376","53.431"
"177.55","90","14625","16376","53.439"
"178.63","55","14625","16376","53.439"
"179.7","62","14625","16376","53.442"
"180.76","100","14625","16376","53.446"
"181.85","94","14625","16376","53.446"
"182.94","62","14625","16376","53.448"
"184.02","57","14625","16376","53.448"
"185.11","100","14625","16376","53.451"
"186.19","62","14625","16376","53.453"
"187.26","100","14625","16376","53.453"
"188.34","100","14625","16376","53.462"
"189.43","82","14625","16376","53.464"
"190.5","59","14625","16376","53.464"
"191.56","60","14625","16376","53.464"
"192.65","90","14625","16376","53.465"
"193.74","82","14625","16376","53.465"
"194.81","100","14625","16376","53.469"
"195.9","60","14625","16376","53.469"
"196.99","60","14625","16376","53.469"
"198.07","87","14625","16376","53.469"
"199.15","79","14625","16376","53.474"
"200.25","83","14625","16376","53.476"
"201.33","63","14625","16376","53.476"
"202.42","100","14625","16376","53.478"
"203.51","100","14625","16376","53.479"
"204.6","100","14625","16376","53.647"
"205.69","79","14625","16376","53.772"
"206.76","61","14625","16376","53.818"
"207.85","98","14625","16376","53.842"
"208.94","100","14625","16376","53.844"
"210.03","62","14625","16376","53.865"
"211.1","100","14625","16376","53.881"
"212.17","81","14625","16376","53.887"
"213.26","100","14625","16376","53.894"
"214.35","92","14625","16376","53.896"
"215.43","91","14625","16376","53.898"
"216.5","69","14625","16376","53.9"
"217.57","100","14625","16376","53.903"
"218.65","72","14625","16376","53.917"
