Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,66496,24,2770.7,2768.0,2528,3008,229.4,"init_indices(int *, int, int)"
0.0,44606,9,4956.2,5152.0,3360,5344,606.4,"void topk_moe_cuda<(int)512, (bool)0>(const float *, float *, int *, float *, int, int, float, float, topk_moe_config)"
0.0,34720,12,2893.3,2912.0,2592,2976,97.9,"void cub::CUB_200200_890_NS::DeviceThreeWayPartitionKernel<cub::CUB_200200_890_NS::detail::device_three_way_partition_policy_hub<int, int>::Policy900, thrust::counting_iterator<int, thrust::use_default, thrust::use_default, thrust::use_default>, unsigned int *, unsigned int *, thrust::reverse_iterator<unsigned int *>, unsigned int *, cub::CUB_200200_890_NS::ScanTileState<unsigned long long, (bool)1>, cub::CUB_200200_890_NS::DispatchSegmentedSort<(bool)1, float, int, int, int *, int *, cub::CUB_200200_890_NS::DeviceSegmentedSortPolicy<float, int>>::LargeSegmentsSelectorT, cub::CUB_200200_890_NS::DispatchSegmentedSort<(bool)1, float, int, int, int *, int *, cub::CUB_200200_890_NS::DeviceSegmentedSortPolicy<float, int>>::SmallSegmentsSelectorT, int>(T2, T3, T4, T5, T6, T7, T8, T9, T10, int)"
0.0,23968,3,7989.3,8704.0,5504,9760,2216.2,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,19487,24,812.0,800.0,799,832,15.8,"init_offsets(int *, int, int)"
0.0,16960,2,8480.0,8480.0,8128,8832,497.8,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,9890,12,824.2,832.0,800,833,14.4,"void cub::CUB_200200_890_NS::DeviceThreeWayPartitionInitKernel<cub::CUB_200200_890_NS::ScanTileState<unsigned long long, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,8320,1,8320.0,8320.0,8320,8320,0.0,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,7680,7,1097.1,1088.0,1088,1120,15.6,"quantize_q8_1(const float *, void *, long long, long long, long long, long long, long long, unsigned int, uint3)"
0.0,3744,4,936.0,928.0,928,960,16.0,"void unary_op_kernel<&op_sgn, float>(const T2 *, T2 *, int)"
0.0,3744,4,936.0,944.0,896,960,30.6,"void unary_op_kernel<&op_sqrt, float>(const T2 *, T2 *, int)"
0.0,3712,4,928.0,928.0,928,928,0.0,"void unary_op_kernel<&op_abs, float>(const T2 *, T2 *, int)"
