timestamp_s,cpu_percent,working_set_gb,private_gb,gpu_util_percent,gpu_mem_used_mb
46.073,73.218,39.109,7.448,33,6846
46.437,73.195,39.162,7.448,33,6839
46.798,73.367,39.237,7.448,33,6839
47.161,75.973,39.294,7.448,32,6839
47.524,71.859,39.382,7.448,33,6835
47.886,73.522,39.423,7.448,33,6835
48.250,72.523,39.477,7.448,34,6845
48.612,76.208,39.527,7.448,33,6845
48.972,71.924,39.601,7.448,34,6845
49.331,72.455,39.655,7.448,34,6845
49.688,70.770,39.764,7.448,34,6845
50.044,73.687,39.852,7.448,33,6845
50.398,71.054,39.930,7.448,33,6835
50.754,74.386,39.994,7.448,35,6835
51.113,72.460,40.044,7.448,33,6835
51.469,68.188,40.086,7.448,34,6835
51.826,74.703,40.110,7.448,34,6835
52.182,73.798,40.173,7.448,33,6845
52.539,74.009,40.234,7.448,34,6845
52.899,73.322,40.334,7.448,34,6846
53.257,73.384,40.383,7.448,33,6847
53.617,71.879,40.449,7.448,32,6847
53.980,72.653,40.509,7.448,34,6847
54.341,73.342,40.545,7.448,34,6841
54.703,72.627,40.573,7.448,33,6841
55.063,73.309,40.604,7.448,34,6841
55.425,76.712,40.639,7.448,34,6836
55.788,72.795,40.703,7.448,34,6836
56.151,73.281,40.728,7.448,32,6845
56.513,72.175,40.771,7.448,35,6846
56.875,73.637,40.794,7.448,35,6846
57.233,21.816,40.794,7.448,43,6846
57.558,3.003,40.794,7.448,56,6846
57.884,2.700,40.794,7.448,56,6846
58.225,3.007,40.794,7.448,55,6846
58.569,3.123,40.794,7.448,55,6846
58.914,3.112,40.794,7.448,55,6847
59.258,3.119,40.795,7.449,56,6847
59.587,26.318,40.796,7.450,55,6847
59.946,74.664,40.796,7.450,35,6849
60.311,73.192,40.796,7.450,35,6849
60.671,73.805,40.796,7.450,35,6849
61.035,75.664,40.796,7.450,36,6849
61.394,74.210,40.796,7.450,36,6849
61.747,69.869,40.796,7.450,34,6851
62.100,75.353,40.796,7.450,36,6857
62.456,74.844,40.796,7.450,35,6858
62.814,70.355,40.796,7.450,35,6858
63.174,74.830,40.796,7.450,35,6857
63.529,71.650,40.796,7.450,33,6926
63.888,73.648,40.796,7.450,33,6926
64.250,72.954,40.796,7.450,35,6926
64.611,69.382,40.796,7.450,36,6927
64.969,71.564,40.796,7.450,35,6929
65.327,73.824,40.796,7.450,35,6880
65.688,73.110,40.796,7.450,34,6880
66.053,76.116,40.796,7.450,38,6881
66.414,73.245,40.796,7.450,38,6881
66.776,73.009,40.796,7.450,34,6900
67.135,74.075,40.796,7.450,35,6901
67.493,72.081,40.796,7.450,34,6895
67.854,72.680,40.796,7.450,34,6895
68.215,73.308,40.796,7.450,35,6897
68.578,74.169,40.796,7.450,36,6884
68.939,73.402,40.796,7.450,36,6884
69.298,73.744,40.796,7.450,36,6884
69.657,74.355,40.796,7.450,35,6870
70.019,75.805,40.796,7.450,36,6870
70.378,71.977,40.796,7.450,36,6864
70.741,72.658,40.796,7.450,36,6864
71.103,73.720,40.796,7.450,35,6864
71.483,70.722,40.796,7.450,36,6863
71.847,74.911,40.796,7.450,36,6855
72.208,73.155,40.796,7.450,37,6855
72.570,73.330,40.796,7.450,37,6853
72.934,73.516,40.796,7.450,36,6848
73.297,72.932,40.796,7.450,36,6828
73.657,71.967,40.796,7.450,36,6828
74.031,73.392,40.796,7.450,35,6828
74.386,74.723,40.796,7.450,35,6829
74.747,74.338,40.796,7.450,36,6829
75.107,73.909,40.796,7.450,35,6829
75.467,73.830,40.796,7.450,37,6829
75.821,75.431,40.796,7.450,37,6829
76.177,74.693,40.796,7.450,35,6829
76.537,73.672,40.796,7.450,36,6829
76.896,74.427,40.796,7.450,36,6829
77.255,73.438,40.796,7.450,36,6829
77.615,73.561,40.796,7.450,36,6829
77.977,74.230,40.796,7.450,35,6829
78.341,72.301,40.796,7.450,35,6859
78.698,74.474,40.796,7.450,37,6859
79.054,74.441,40.796,7.450,35,6859
79.409,74.249,40.796,7.450,35,6859
79.770,72.046,40.796,7.450,34,6859
80.130,73.888,40.796,7.450,35,6859
80.487,73.145,40.796,7.450,35,6859
80.850,73.170,40.796,7.450,35,6859
81.213,73.334,40.796,7.450,35,6859
81.574,73.671,40.796,7.450,35,6847
81.935,72.944,40.796,7.450,35,6847
82.299,73.809,40.796,7.450,35,6847
82.659,75.782,40.796,7.450,35,6847
83.022,73.600,40.796,7.450,36,6859
83.384,72.773,40.796,7.450,36,6849
83.746,73.142,40.796,7.450,35,6849
84.095,72.980,40.796,7.450,32,6849
84.455,74.053,40.796,7.450,35,6849
84.818,74.577,40.796,7.450,35,6849
85.180,74.105,40.796,7.450,35,6849
85.542,73.438,40.796,7.450,34,6837
85.904,73.260,40.796,7.450,34,6837
86.266,73.501,40.796,7.450,35,6837
86.628,76.395,40.796,7.450,35,6837
87.006,71.285,40.796,7.450,34,6849
87.367,73.526,40.796,7.450,34,6849
87.729,73.392,40.796,7.450,35,6849
88.087,73.898,40.796,7.450,37,6852
88.449,73.552,40.796,7.450,36,6856
88.813,73.341,40.796,7.450,36,6892
89.176,75.531,40.796,7.450,36,6894
89.535,73.618,40.796,7.450,36,6897
89.897,73.053,40.796,7.450,36,6905
90.259,72.170,40.796,7.450,37,6906
90.620,74.279,40.796,7.450,36,6910
90.978,72.937,40.796,7.450,37,6911
91.341,72.158,40.796,7.450,37,6914
91.689,71.103,40.796,7.450,42,6890
92.052,72.608,40.796,7.450,40,6890
92.413,72.996,40.796,7.450,40,6888
92.776,72.138,40.796,7.450,34,6887
93.135,74.314,40.796,7.450,36,6887
93.494,73.640,40.796,7.450,34,6880
93.854,72.518,40.796,7.450,34,6871
94.216,73.873,40.796,7.450,35,6871
94.577,72.713,40.796,7.450,35,6871
94.938,72.086,40.796,7.450,35,6870
95.296,72.247,40.796,7.450,35,6866
95.655,72.972,40.796,7.450,35,6872
96.017,71.518,40.796,7.450,35,6872
96.380,75.898,40.796,7.450,35,6870
96.727,72.753,40.796,7.450,34,6867
97.086,74.815,40.796,7.450,36,6867
97.459,74.248,40.796,7.450,34,6866
97.823,72.814,40.796,7.450,34,6857
98.186,73.174,40.796,7.450,35,6857
98.549,69.358,40.796,7.450,35,6862
98.911,18.758,40.796,7.450,35,6862
99.240,3.115,40.796,7.450,55,6862
99.569,3.118,40.796,7.450,54,6862
99.913,3.116,40.796,7.450,54,6862
100.243,2.960,40.796,7.450,56,6862
100.588,2.979,40.796,7.450,57,6862
100.918,3.098,40.796,7.450,57,6849
101.263,18.823,40.796,7.450,56,6849
101.624,73.361,40.796,7.450,31,6840
101.987,76.574,40.796,7.450,35,6849
102.348,74.298,40.796,7.450,35,6849
102.711,73.200,40.796,7.450,34,6878
103.067,74.224,40.796,7.450,39,6882
103.430,73.185,40.796,7.450,35,6882
103.788,74.041,40.796,7.450,35,6882
104.150,72.830,40.796,7.450,35,6882
