graph_id,node_index,op,fused_nodes,worker_us,barrier_us,name,src0,src1
1,49,GLU,0,1,1,"ffn_moe_swiglu-0","ffn_moe_gate-0","ffn_moe_up-0"
1,50,MUL_MAT_ID,0,137,93,"ffn_moe_down-0","blk.0.ffn_down_exps.weight","ffn_moe_swiglu-0"
1,51,MUL,0,3,77,"ffn_moe_weighted-0","ffn_moe_down-0","ffn_moe_weights_norm-0 (reshaped)"
1,62,ADD,0,1,3,"node_133","ffn_moe_weighted-0 (view)","ffn_moe_weighted-0 (view)"
1,63,ADD,0,1,9,"node_134","node_133","ffn_moe_weighted-0 (view)"
1,64,ADD,0,1,1,"node_135","node_134","ffn_moe_weighted-0 (view)"
1,65,ADD,0,1,1,"node_136","node_135","ffn_moe_weighted-0 (view)"
1,66,ADD,0,1,1,"node_137","node_136","ffn_moe_weighted-0 (view)"
1,67,ADD,0,1,1,"node_138","node_137","ffn_moe_weighted-0 (view)"
1,68,ADD,0,1,1,"node_139","node_138","ffn_moe_weighted-0 (view)"
1,69,ADD,0,1,0,"node_140","node_139","ffn_moe_weighted-0 (view)"
1,70,ADD,0,1,1,"ffn_moe_out-0","node_140","ffn_moe_weighted-0 (view)"
1,73,SCALE,0,0,3,"cache_ple_r_l1 (reshaped) (view) (view)","cache_ple_r_l1 (reshaped) (view)",""
1,74,GET_ROWS,0,35,1,"node_145","cache_ple_r_l1 (reshaped)"," (view)"
1,75,GET_ROWS,0,0,12,"node_146","cache_ple_r_l1 (reshaped)"," (view)"
1,77,CPY,0,0,2,"cache_ple_r_l1 (view) (copy of )","node_146","cache_ple_r_l1 (view)"
1,79,GET_ROWS,0,1,21,"node_150","per_layer_token_embd.weight","leaf_29"
1,81,MUL_MAT,0,108,39,"node_152","blk.1.ple_value.weight","ple_embd-1"
1,83,REPEAT,0,3,1,"node_154"," (reshaped)",""
1,84,MUL_MAT,0,503,39,"node_155","blk.1.ple_key.weight","ple_embd-1"
1,86,RMS_NORM,0,3,2,"node_157"," (reshaped)",""
1,88,MUL,0,6,1,"node_159"," (reshaped)","blk.1.ple_norm_key.weight"
1,90,MUL_MAT,0,32,6,"ffn_gate-0","blk.0.ffn_gate_shexp.weight","ffn_moe_inp-0"
1,91,MUL_MAT,0,30,23,"ffn_up-0","blk.0.ffn_up_shexp.weight","ffn_moe_inp-0"
1,92,GLU,0,1,2,"ffn_swiglu-0","ffn_gate-0","ffn_up-0"
1,93,MUL_MAT,0,30,17,"ffn_shexp-0","blk.0.ffn_down_shexp.weight","ffn_swiglu-0"
1,94,MUL_MAT,0,3,1,"shared_expert_gate-0","blk.0.ffn_gate_inp_shexp.weight","ffn_moe_inp-0"
1,95,UNARY,0,1,2,"shared_expert_gate_sigmoid-0","shared_expert_gate-0",""
1,96,MUL,0,2,4,"ffn_shexp_gated-0","ffn_shexp-0","shared_expert_gate_sigmoid-0"
1,97,ADD,0,1,1,"ffn_out-0","ffn_moe_out-0","ffn_shexp_gated-0"
1,99,REPEAT,0,1,1,"node_170","ffn_out-0 (reshaped)",""
1,100,MUL_MAT,0,9,5,"hc_inject-0","blk.0.hc_ffn_inject.weight","hc_norm-0"
1,101,SCALE,0,1,7,"node_172","hc_inject-0",""
1,102,UNARY,0,0,3,"node_173","node_172",""
1,103,SCALE,0,0,2,"node_174","node_173",""
1,105,MUL,0,3,3,"node_176","node_170"," (reshaped)"
1,106,ADD,0,2,5,"l_last-0","hc_combine-0","node_176"
1,108,RMS_NORM,0,2,2,"node_179","l_last-0 (reshaped)",""
1,110,MUL,0,6,0,"node_181"," (reshaped)","blk.1.ple_norm_query.weight"
1,112,MUL,0,2,2,"node_183"," (reshaped)"," (reshaped)"
1,113,SUM_ROWS,0,4,1,"node_184","node_183",""
1,114,SCALE,0,0,1,"node_185","node_184",""
1,115,UNARY,0,0,2,"node_186","node_185",""
1,116,UNARY,0,1,2,"node_187","node_185",""
1,117,CLAMP,0,0,2,"node_188","node_187",""
1,118,SQRT,0,1,5,"node_189","node_188",""
1,119,MUL,0,1,1,"node_190","node_186","node_189"
