run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,239,179.673,68.07,247.743
0,1,240,179.632,70.5895,250.222
0,2,241,178.157,69.6727,247.83
0,3,242,168.76,69.6581,238.418
0,4,243,169.229,71.8751,241.104
0,5,244,174.105,69.0796,243.185
0,6,245,180.008,73.8322,253.84
0,7,246,171.41,70.0382,241.448
0,8,247,177.314,70.2194,247.533
0,9,248,169.287,70.1875,239.475
0,10,249,161.165,72.6552,233.821
0,11,250,174.255,70.0296,244.285
0,12,251,174.357,70.9436,245.301
0,13,252,177.097,74.8223,251.92
0,14,253,171.252,69.8169,241.069
0,15,254,163.245,71.3545,234.599
0,16,255,178.387,66.91,245.297
0,17,256,177.675,69.0376,246.712
0,18,257,186.575,64.7284,251.304
0,19,258,175.689,68.9843,244.673
