graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
0,0,GET_ROWS,0,2,1,4,"model.input_embed","token_embd.weight","inp_tokens"
0,2,REPEAT,0,6,0,10,"hc_init","model.input_embed (reshaped)",""
0,5,MUL,0,12,0,27,"hc_norm-0"," (reshaped)","blk.0.hc_attn_norm.weight"
0,10,UNARY,0,34,1,206,"hc_gate-0","node_9",""
0,21,SCALE,0,0,1,234,"hc_mixed-0","node_20",""
0,69,RMS_NORM,0,0,1,2650,"norm-0","attn_output-0",""
1,5,MUL_MAT,0,356,4,707,"linear_attn_out-0","blk.0.ssm_out.weight","final_output-0"
1,9,MUL_MAT,0,19,1,733,"hc_inject-0","blk.0.hc_attn_inject.weight","hc_norm-0"
1,15,ADD,0,2,0,746,"hc_combine-0","hc_init","node_85"
1,18,MUL,0,8,0,759,"hc_norm-0"," (reshaped)","blk.0.hc_ffn_norm.weight"
1,23,UNARY,0,34,1,972,"hc_gate-0","node_93",""
1,34,SCALE,0,0,1,1006,"ffn_moe_inp-0","node_104",""
1,38,ARGSORT,0,23,0,1151,"ffn_moe_argsort-0","ffn_moe_probs-0",""
1,70,ADD,0,2,1,1862,"ffn_moe_out-0","node_140","ffn_moe_weighted-0 (view)"
1,93,MUL_MAT,0,32,6,2775,"ffn_shexp-0","blk.0.ffn_down_shexp.weight","ffn_swiglu-0"
1,96,MUL,0,3,0,2792,"ffn_shexp_gated-0","ffn_shexp-0","shared_expert_gate_sigmoid-0"
1,97,ADD,0,1,1,2795,"ffn_out-0","ffn_moe_out-0","ffn_shexp_gated-0"
1,100,MUL_MAT,0,9,1,2810,"hc_inject-0","blk.0.hc_ffn_inject.weight","hc_norm-0"
1,106,ADD,0,1,1,2824,"l_last-0","hc_combine-0","node_176"
1,120,UNARY,0,0,1,2871,"ple_gate-1","node_190",""
1,121,MUL,0,3,1,2875,"ple_gated_value-1","node_154","ple_gate-1"
1,174,MUL,0,9,1,3346,"hc_norm-1"," (reshaped)","blk.1.hc_attn_norm.weight"
1,179,UNARY,0,33,1,3543,"hc_gate-1","node_249",""
1,190,SCALE,0,0,2,3561,"hc_mixed-1","node_260",""
1,236,RMS_NORM,0,1,0,4817,"norm-1","attn_output-1",""
2,5,MUL_MAT,0,322,8,654,"linear_attn_out-1","blk.1.ssm_out.weight","final_output-1"
2,9,MUL_MAT,0,10,1,671,"hc_inject-1","blk.1.hc_attn_inject.weight","hc_norm-1"
2,15,ADD,0,2,0,684,"hc_combine-1","node_242","node_323"
2,18,MUL,0,11,0,699,"hc_norm-1"," (reshaped)","blk.1.hc_ffn_norm.weight"
2,23,UNARY,0,34,0,968,"hc_gate-1","node_331",""
2,34,SCALE,0,1,1,995,"ffn_moe_inp-1","node_342",""
2,38,ARGSORT,0,22,0,1139,"ffn_moe_argsort-1","ffn_moe_probs-1",""
2,70,ADD,0,2,0,1858,"ffn_moe_out-1","node_378","ffn_moe_weighted-1 (view)"
2,74,MUL_MAT,0,38,1,1984,"ffn_shexp-1","blk.1.ffn_down_shexp.weight","ffn_swiglu-1"
2,77,MUL,0,3,0,1994,"ffn_shexp_gated-1","ffn_shexp-1","shared_expert_gate_sigmoid-1"
2,78,ADD,0,1,0,1996,"ffn_out-1","ffn_moe_out-1","ffn_shexp_gated-1"
2,81,MUL_MAT,0,11,0,2011,"hc_inject-1","blk.1.hc_ffn_inject.weight","hc_norm-1"
2,87,ADD,0,2,1,2023,"l_last-1","hc_combine-1","node_395"
2,90,MUL,0,13,0,2042,"hc_norm-2"," (reshaped)","blk.2.hc_attn_norm.weight"
2,95,UNARY,0,34,0,2241,"hc_gate-2","node_403",""
2,106,SCALE,0,0,3,2259,"hc_mixed-2","node_414",""
2,152,RMS_NORM,0,0,13,3688,"norm-2","attn_output-2",""
3,5,MUL_MAT,0,277,63,762,"linear_attn_out-2","blk.2.ssm_out.weight","final_output-2"
3,9,MUL_MAT,0,6,1,773,"hc_inject-2","blk.2.hc_attn_inject.weight","hc_norm-2"
3,15,ADD,0,1,1,798,"hc_combine-2","l_last-1","node_477"
3,18,MUL,0,8,0,809,"hc_norm-2"," (reshaped)","blk.2.hc_ffn_norm.weight"
3,23,UNARY,0,21,0,997,"hc_gate-2","node_485",""
3,34,SCALE,0,0,2,1012,"ffn_moe_inp-2","node_496",""
3,38,ARGSORT,0,18,0,1147,"ffn_moe_argsort-2","ffn_moe_probs-2",""
3,70,ADD,0,1,1,2079,"ffn_moe_out-2","node_532","ffn_moe_weighted-2 (view)"
3,74,MUL_MAT,0,21,17,2202,"ffn_shexp-2","blk.2.ffn_down_shexp.weight","ffn_swiglu-2"
3,77,MUL,0,2,0,2210,"ffn_shexp_gated-2","ffn_shexp-2","shared_expert_gate_sigmoid-2"
3,78,ADD,0,1,0,2211,"ffn_out-2","ffn_moe_out-2","ffn_shexp_gated-2"
3,81,MUL_MAT,0,10,2,2226,"hc_inject-2","blk.2.hc_ffn_inject.weight","hc_norm-2"
3,87,ADD,0,1,1,2248,"l_last-2","hc_combine-2","node_549"
3,90,MUL,0,6,1,2258,"hc_norm-3"," (reshaped)","blk.3.hc_attn_norm.weight"
3,95,UNARY,0,25,9,2465,"hc_gate-3","node_557",""
3,106,SCALE,0,0,2,2481,"hc_mixed-3","node_568",""
3,151,RMS_NORM,0,4,1,3327,"norm-3","indexer_k_pooled-3 (reshaped)",""
4,38,MUL_MAT,0,239,92,544,"attn_output-3","blk.3.attn_output.weight","attn_gated-3"
4,41,MUL_MAT,0,7,1,555,"hc_inject-3","blk.3.hc_attn_inject.weight","hc_norm-3"
4,47,ADD,0,1,2,566,"hc_combine-3","l_last-2","node_664"
4,50,MUL,0,7,1,576,"hc_norm-3"," (reshaped)","blk.3.hc_ffn_norm.weight"
4,55,UNARY,0,21,0,740,"hc_gate-3","node_672",""
4,66,SCALE,0,0,2,770,"ffn_moe_inp-3","node_683",""
4,70,ARGSORT,0,18,1,888,"ffn_moe_argsort-3","ffn_moe_probs-3",""
4,102,ADD,0,1,1,1514,"ffn_moe_out-3","node_719","ffn_moe_weighted-3 (view)"
4,106,MUL_MAT,0,20,14,1629,"ffn_shexp-3","blk.3.ffn_down_shexp.weight","ffn_swiglu-3"
4,109,MUL,0,2,0,1636,"ffn_shexp_gated-3","ffn_shexp-3","shared_expert_gate_sigmoid-3"
4,110,ADD,0,1,0,1638,"ffn_out-3","ffn_moe_out-3","ffn_shexp_gated-3"
4,113,MUL_MAT,0,5,1,1646,"hc_inject-3","blk.3.hc_ffn_inject.weight","hc_norm-3"
4,119,ADD,0,2,0,1657,"l_last-3","hc_combine-3","node_736"
4,122,MUL,0,5,0,1666,"hc_norm-4"," (reshaped)","blk.4.hc_attn_norm.weight"
4,127,UNARY,0,20,0,1840,"hc_gate-4","node_744",""
4,138,SCALE,0,0,2,1856,"hc_mixed-4","node_755",""
4,184,RMS_NORM,0,0,1,2811,"norm-4","attn_output-4",""
5,5,MUL_MAT,0,178,166,684,"linear_attn_out-4","blk.4.ssm_out.weight","final_output-4"
5,9,MUL_MAT,0,6,2,696,"hc_inject-4","blk.4.hc_attn_inject.weight","hc_norm-4"
5,15,ADD,0,1,1,709,"hc_combine-4","l_last-3","node_818"
5,18,MUL,0,5,1,719,"hc_norm-4"," (reshaped)","blk.4.hc_ffn_norm.weight"
5,23,UNARY,0,21,0,900,"hc_gate-4","node_826",""
5,34,SCALE,0,0,2,915,"ffn_moe_inp-4","node_837",""
5,38,ARGSORT,0,18,1,1040,"ffn_moe_argsort-4","ffn_moe_probs-4",""
5,70,ADD,0,1,0,1851,"ffn_moe_out-4","node_873","ffn_moe_weighted-4 (view)"
5,74,MUL_MAT,0,19,16,1977,"ffn_shexp-4","blk.4.ffn_down_shexp.weight","ffn_swiglu-4"
5,77,MUL,0,1,0,1986,"ffn_shexp_gated-4","ffn_shexp-4","shared_expert_gate_sigmoid-4"
5,78,ADD,0,1,0,1988,"ffn_out-4","ffn_moe_out-4","ffn_shexp_gated-4"
5,81,MUL_MAT,0,5,2,1997,"hc_inject-4","blk.4.hc_ffn_inject.weight","hc_norm-4"
5,87,ADD,0,1,1,2010,"l_last-4","hc_combine-4","node_890"
5,90,MUL,0,5,0,2018,"hc_norm-5"," (reshaped)","blk.5.hc_attn_norm.weight"
5,95,UNARY,0,30,0,2205,"hc_gate-5","node_898",""
5,106,SCALE,0,0,2,2222,"hc_mixed-5","node_909",""
5,152,RMS_NORM,0,1,2,3381,"norm-5","attn_output-5",""
6,5,MUL_MAT,0,178,145,638,"linear_attn_out-5","blk.5.ssm_out.weight","final_output-5"
6,9,MUL_MAT,0,6,1,648,"hc_inject-5","blk.5.hc_attn_inject.weight","hc_norm-5"
6,15,ADD,0,1,1,666,"hc_combine-5","l_last-4","node_972"
6,18,MUL,0,6,0,674,"hc_norm-5"," (reshaped)","blk.5.hc_ffn_norm.weight"
6,23,UNARY,0,20,1,841,"hc_gate-5","node_980",""
6,34,SCALE,0,1,2,856,"ffn_moe_inp-5","node_991",""
