"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.214","2.96","0.241","1","206","16376"
"0.511","2.97","0.357","0","423","16376"
"0.778","1.46","0.358","0","423","16376"
"1.048","3.08","0.358","0","423","16376"
"1.317","3.27","0.358","0","423","16376"
"1.585","2.91","0.358","0","423","16376"
"1.851","3.11","0.358","0","423","16376"
"2.12","3.09","0.358","0","423","16376"
"2.386","3.12","0.358","0","423","16376"
"2.655","3.09","0.358","0","423","16376"
"2.923","3.1","0.358","0","423","16376"
"3.189","3.11","0.358","0","423","16376"
"3.46","3.07","0.358","0","423","16376"
"3.728","2.91","0.358","0","423","16376"
"3.997","3.09","0.358","0","423","16376"
"4.264","2.92","0.358","0","423","16376"
"4.532","3.09","0.358","0","423","16376"
"4.799","3.11","0.358","0","423","16376"
"5.069","3.25","0.358","0","423","16376"
"5.335","3.11","0.424","66","11291","16376"
"5.603","3.1","1.256","66","11291","16376"
"5.87","3.11","2.064","15","11291","16376"
"6.139","3.09","2.892","15","11291","16376"
"6.405","3.12","3.722","15","11291","16376"
"6.674","3.09","4.556","15","11291","16376"
"6.942","3.28","5.221","15","11291","16376"
"7.211","3.08","5.837","15","11291","16376"
"7.478","3.11","6.485","11","11291","16376"
"7.747","3.09","7.13","11","11291","16376"
"8.015","3.09","7.639","12","11291","16376"
"8.283","3.1","8.108","30","11291","16376"
"8.552","3.09","8.609","30","11291","16376"
"8.82","3.1","9.043","31","11291","16376"
"9.089","2.9","9.473","31","11291","16376"
"9.358","2.91","9.898","28","11291","16376"
"9.625","3.1","10.34","28","11291","16376"
"9.891","3.12","10.769","28","11291","16376"
"10.16","3.09","10.991","28","13163","16376"
"10.427","2.74","11.062","86","14323","16376"
"10.695","3.1","11.064","86","14323","16376"
"10.961","3.12","11.067","0","14323","16376"
"11.227","3.13","11.069","0","14323","16376"
"11.492","3.13","11.071","0","14323","16376"
"11.758","2.93","11.073","0","14323","16376"
"12.028","2.9","11.075","0","14323","16376"
"12.296","3.1","11.077","0","14323","16376"
"12.563","3.11","11.179","0","14323","16376"
"12.83","2.92","11.179","63","14323","16376"
"13.114","3.1","11.179","63","14323","16376"
"13.397","3.11","11.179","53","14323","16376"
"13.681","2.92","11.179","53","14323","16376"
"13.95","3.08","11.181","71","14323","16376"
"14.22","3.08","11.183","71","14323","16376"
"14.489","3.26","11.185","0","14323","16376"
"14.755","3.12","11.187","0","14323","16376"
"15.02","3.13","11.189","1","14323","16376"
"15.285","2.94","11.192","0","14323","16376"
"15.555","3.08","11.194","0","14323","16376"
"15.824","3.08","11.196","0","14323","16376"
"16.088","2.77","11.197","0","14323","16376"
"16.373","5.66","11.23","59","14355","16376"
"16.658","72.52","11.772","59","14355","16376"
"16.953","74.17","12.504","41","14393","16376"
"17.233","75.11","13.106","19","14393","16376"
"17.53","74.72","13.554","19","14393","16376"
"17.844","72.41","13.776","31","14393","16376"
"18.144","73.6","13.933","31","14393","16376"
"18.426","78.38","14.429","46","14393","16376"
"18.723","44.01","13.15","46","489","16376"
"18.989","3.12","10.938","0","489","16376"
"19.258","2.91","8.715","0","489","16376"
"19.526","3.09","6.54","0","489","16376"
"19.793","3.1","4.31","0","489","16376"
"20.061","3.1","2.121","0","489","16376"
"20.332","3.25","0.112","0","204","16376"
