"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.215","2.95","0.199","0","206","16376"
"0.484","2.91","0.357","0","423","16376"
"0.75","2.02","0.358","0","423","16376"
"1.017","3.11","0.358","0","423","16376"
"1.285","3.1","0.358","0","423","16376"
"1.553","3.09","0.358","0","423","16376"
"1.824","3.25","0.358","0","423","16376"
"2.093","3.08","0.358","0","423","16376"
"2.362","2.72","0.358","0","423","16376"
"2.629","3.11","0.358","0","423","16376"
"2.897","3.09","0.358","0","423","16376"
"3.168","3.25","0.358","0","423","16376"
"3.437","3.08","0.358","0","423","16376"
"3.706","3.09","0.358","0","423","16376"
"3.973","3.1","0.358","0","423","16376"
"4.241","3.1","0.358","0","423","16376"
"4.508","3.11","0.358","0","423","16376"
"4.776","3.29","0.358","0","423","16376"
"5.044","2.72","0.358","0","423","16376"
"5.312","2.92","0.399","97","13433","16376"
"5.581","3.08","1.241","97","13433","16376"
"5.848","3.11","2.069","15","13433","16376"
"6.114","3.12","2.891","15","13433","16376"
"6.383","3.09","3.754","15","13433","16376"
"6.666","3.11","4.578","15","13433","16376"
"6.933","3.29","5.265","15","13433","16376"
"7.203","2.89","5.878","15","13433","16376"
"7.47","2.92","6.503","11","13433","16376"
"7.74","2.72","7.158","11","13433","16376"
"8.009","3.09","7.806","12","13433","16376"
"8.275","2.39","8.433","12","13433","16376"
"8.544","3.08","8.917","12","13433","16376"
"8.813","3.09","9.389","30","13433","16376"
"9.085","2.88","9.889","30","13433","16376"
"9.352","2.92","10.336","33","13433","16376"
"9.619","3.29","10.796","33","13433","16376"
"9.903","2.92","11.231","28","13433","16376"
"10.172","3.09","11.67","28","13433","16376"
"10.438","3.13","12.098","29","13433","16376"
"10.707","3.08","12.558","29","13433","16376"
"10.992","3.09","12.996","29","13433","16376"
"11.258","2.93","13.224","29","15681","16376"
"11.527","3.63","13.226","87","15681","16376"
"11.796","3.09","13.228","0","15681","16376"
"12.066","3.08","13.23","0","15681","16376"
"12.332","3.11","13.232","0","15681","16376"
"12.601","3.09","13.234","0","15681","16376"
"12.87","3.09","13.236","0","15681","16376"
"13.141","3.06","13.239","0","15681","16376"
"13.409","3.1","13.241","0","15681","16376"
"13.675","3.11","13.294","0","15681","16376"
"13.958","2.93","13.294","62","15681","16376"
"14.242","3.1","13.295","62","15681","16376"
"14.524","2.94","13.296","62","15681","16376"
"14.793","2.91","13.298","0","15681","16376"
"15.063","3.08","13.3","0","15681","16376"
"15.332","3.08","13.303","0","15681","16376"
"15.602","3.07","13.305","0","15681","16376"
"15.869","3.11","13.307","0","15681","16376"
"16.138","3.27","13.309","0","15681","16376"
"16.422","3.09","13.311","1","15681","16376"
"16.69","2.92","13.312","1","15681","16376"
"16.975","25.88","13.53","55","15713","16376"
"17.275","76.41","14.165","46","15715","16376"
"17.559","74.24","14.949","46","15751","16376"
"17.858","73.97","15.431","17","15751","16376"
"18.158","74.01","15.706","17","15751","16376"
"18.442","73.24","15.92","29","15751","16376"
"18.725","74.43","16.118","29","15751","16376"
"19.009","72.97","16.293","39","14731","16376"
"19.292","33.1","14.704","0","425","16376"
"19.56","3.1","12.49","0","425","16376"
"19.829","2.9","10.279","0","425","16376"
"20.096","3.11","8.013","0","425","16376"
"20.363","2.93","5.828","0","425","16376"
"20.631","3.09","3.574","0","425","16376"
"20.899","3.1","1.296","0","425","16376"
"21.166","2.75","0","0","204","16376"
