sample,host_total_ms,stage,start_ms,end_ms,duration_ms
0,1.490416,activation_d2h,0.0,0.0272000003606081,0.0272000003606081
0,1.490416,cpu,0.405171,0.881525,0.476354
0,1.490416,gpu_resident,0.0,0.49459201097488403,0.49459201097488403
0,1.490416,gpu_h2d,0.0,0.37363201379776,0.37363201379776
0,1.490416,gpu_dequant,0.37363201379776,0.4546560049057007,0.08102399110794067
0,1.490416,gpu_promoted,0.49459201097488403,0.5713919997215271,0.07679998874664307
0,1.490416,cpu_return_merge,1.0598399937152863,1.3660160303115845,0.3061760365962982
1,1.257194,activation_d2h,0.0,0.029152000322937965,0.029152000322937965
1,1.257194,cpu,0.391368,1.06924,0.677872
1,1.257194,gpu_resident,0.0,0.4914880096912384,0.4914880096912384
1,1.257194,gpu_h2d,0.0,0.37363201379776,0.37363201379776
1,1.257194,gpu_dequant,0.37363201379776,0.4781759977340698,0.10454398393630981
1,1.257194,gpu_promoted,0.4914880096912384,0.5754560232162476,0.08396801352500916
1,1.257194,cpu_return_merge,1.0536640286445618,1.0949440002441406,0.04127997159957886
2,1.273283,activation_d2h,0.0,0.023584000766277313,0.023584000766277313
2,1.273283,cpu,0.275119,0.731443,0.45632399999999995
2,1.273283,gpu_resident,0.0,0.47177600860595703,0.47177600860595703
2,1.273283,gpu_h2d,0.0,0.37404799461364746,0.37404799461364746
2,1.273283,gpu_dequant,0.37404799461364746,0.4461759924888611,0.07212799787521362
2,1.273283,gpu_promoted,0.47177600860595703,0.5987520217895508,0.12697601318359375
2,1.273283,cpu_return_merge,0.6909440234303474,0.9940159916877747,0.3030719682574272
3,1.11903,activation_d2h,0.0,0.029055999591946602,0.029055999591946602
3,1.11903,cpu,0.433227,0.930532,0.49730500000000005
3,1.11903,gpu_resident,0.0,0.4553920030593872,0.4553920030593872
3,1.11903,gpu_h2d,0.0,0.3731200098991394,0.3731200098991394
3,1.11903,gpu_dequant,0.3731200098991394,0.4768959879875183,0.1037759780883789
3,1.11903,gpu_promoted,0.4768959879875183,0.5385599732398987,0.06166398525238037
3,1.11903,cpu_return_merge,0.9510079622268677,1.009376049041748,0.05836808681488037
4,1.042026,activation_d2h,0.0,0.024512000381946564,0.024512000381946564
4,1.042026,cpu,0.437179,0.86932,0.432141
4,1.042026,gpu_resident,0.0,0.4618239998817444,0.4618239998817444
4,1.042026,gpu_h2d,0.0,0.3655039966106415,0.3655039966106415
4,1.042026,gpu_dequant,0.3655039966106415,0.43827199935913086,0.07276800274848938
4,1.042026,gpu_promoted,0.4618239998817444,0.562175989151001,0.10035198926925659
4,1.042026,cpu_return_merge,0.8908799886703491,0.9392319917678833,0.04835200309753418
5,1.010302,activation_d2h,0.0,0.02051199972629547,0.02051199972629547
5,1.010302,cpu,0.274031,0.738957,0.46492599999999995
5,1.010302,gpu_resident,0.0,0.4713599979877472,0.4713599979877472
5,1.010302,gpu_h2d,0.0,0.35945600271224976,0.35945600271224976
5,1.010302,gpu_dequant,0.35945600271224976,0.4402239918708801,0.08076798915863037
5,1.010302,gpu_promoted,0.4713599979877472,0.5620800256729126,0.0907200276851654
5,1.010302,cpu_return_merge,0.8378240168094635,0.8928319811820984,0.05500796437263489
6,1.278584,activation_d2h,0.0,0.02969600073993206,0.02969600073993206
6,1.278584,cpu,0.443625,1.065638,0.6220130000000001
6,1.278584,gpu_resident,0.0,0.5130239725112915,0.5130239725112915
6,1.278584,gpu_h2d,0.0,0.3789440095424652,0.3789440095424652
6,1.278584,gpu_dequant,0.3789440095424652,0.45260798931121826,0.07366397976875305
6,1.278584,gpu_promoted,0.5130239725112915,0.6164479851722717,0.10342401266098022
