"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.213","2.74","0.199","0","206","16376"
"0.481","3.1","0.357","0","423","16376"
"0.746","1.85","0.358","0","423","16376"
"1.014","3.27","0.358","0","423","16376"
"1.284","3.08","0.358","0","423","16376"
"1.553","3.09","0.358","0","423","16376"
"1.823","3.07","0.358","0","423","16376"
"2.09","3.1","0.358","0","423","16376"
"2.357","2.56","0.358","0","423","16376"
"2.626","3.08","0.358","0","423","16376"
"2.895","3.09","0.358","0","423","16376"
"3.165","3.08","0.358","0","423","16376"
"3.432","3.11","0.358","0","423","16376"
"3.7","3.1","0.358","0","423","16376"
"3.965","2.95","0.358","0","423","16376"
"4.23","3.12","0.358","0","423","16376"
"4.499","3.09","0.358","0","423","16376"
"4.766","3.11","0.358","0","423","16376"
"5.032","2.93","0.358","0","423","16376"
"5.3","3.09","0.358","75","12519","16376"
"5.586","3.08","1.139","75","13433","16376"
"5.854","3.09","1.961","15","13433","16376"
"6.124","2.9","2.796","15","13433","16376"
"6.392","3.1","3.618","15","13433","16376"
"6.66","3.1","4.439","15","13433","16376"
"6.928","3.09","5.145","15","13433","16376"
"7.198","3.08","5.762","15","13433","16376"
"7.463","2.95","6.364","11","13433","16376"
"7.733","3.08","7.017","11","13433","16376"
"8.002","2.9","7.639","12","13433","16376"
"8.272","2.9","8.123","33","13433","16376"
"8.54","3.1","8.601","33","13433","16376"
"8.81","2.9","9.064","32","13433","16376"
"9.076","2.75","9.491","32","13433","16376"
"9.345","3.09","9.929","29","13433","16376"
"9.614","3.09","10.364","29","13433","16376"
"9.882","3.1","10.798","27","13433","16376"
"10.151","2.9","11.222","27","13433","16376"
"10.419","3.09","11.659","29","13433","16376"
"10.689","3.08","12.092","29","13433","16376"
"10.957","3.09","12.519","29","13433","16376"
"11.227","3.08","12.958","29","13433","16376"
"11.495","3.1","13.151","28","15015","16376"
"11.762","2.56","13.152","1","15015","16376"
"12.032","3.25","13.155","1","15015","16376"
"12.299","3.11","13.157","0","15015","16376"
"12.569","3.08","13.159","0","15015","16376"
"12.837","2.91","13.161","0","15015","16376"
"13.105","3.1","13.197","0","15015","16376"
"13.387","2.94","13.197","56","15015","16376"
"13.671","2.93","13.198","56","15015","16376"
"13.938","3.1","13.2","1","15015","16376"
"14.205","3.11","13.202","1","15015","16376"
"14.473","3.1","13.205","0","15015","16376"
"14.74","3.11","13.207","0","15015","16376"
"15.009","2.91","13.209","0","15015","16376"
"15.274","3.13","13.258","61","15045","16376"
"15.541","58.29","13.478","61","15047","16376"
"15.838","74.5","14.454","40","15075","16376"
"16.122","77.63","15.111","40","15085","16376"
"16.408","73.28","15.517","20","15085","16376"
"16.707","73.83","15.738","20","15085","16376"
"16.99","73.78","15.963","24","15085","16376"
"17.274","73.58","16.115","25","9339","16376"
"17.559","22.63","14.002","25","489","16376"
"17.844","3.08","11.798","0","489","16376"
"18.114","3.08","9.6","0","489","16376"
"18.384","3.07","7.306","0","489","16376"
"18.653","2.72","5.151","0","489","16376"
"18.921","2.91","2.921","0","489","16376"
"19.19","3.09","0.665","0","489","16376"
"19.456","2.02","0","0","204","16376"
