"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.205","2.38","0.197","0","206","16376"
"0.474","3.26","0.357","0","423","16376"
"0.742","2.55","0.358","0","423","16376"
"1.011","3.09","0.358","0","423","16376"
"1.279","3.1","0.358","0","423","16376"
"1.547","3.1","0.358","0","423","16376"
"1.814","2.74","0.358","0","423","16376"
"2.082","3.1","0.358","0","423","16376"
"2.351","3.09","0.358","0","423","16376"
"2.618","3.11","0.358","0","423","16376"
"2.886","3.09","0.358","0","423","16376"
"3.153","3.12","0.358","0","423","16376"
"3.42","3.11","0.358","0","423","16376"
"3.687","3.1","0.358","0","423","16376"
"3.956","3.45","0.358","0","423","16376"
"4.225","3.08","0.358","0","423","16376"
"4.493","3.1","0.358","0","423","16376"
"4.761","3.09","0.358","0","423","16376"
"5.025","3.14","0.358","0","423","16376"
"5.287","2.99","0.358","0","10599","16376"
"5.568","2.95","1.053","97","13433","16376"
"5.832","2.96","1.847","15","13433","16376"
"6.095","2.78","2.644","15","13433","16376"
"6.36","2.95","3.448","15","13433","16376"
"6.628","3.1","4.272","15","13433","16376"
"6.895","2.74","5.01","15","13433","16376"
"7.164","3.09","5.621","15","13433","16376"
"7.432","3.09","6.222","12","13433","16376"
"7.702","3.07","6.868","12","13433","16376"
"7.97","2.91","7.376","12","13433","16376"
"8.239","2.55","7.856","12","13433","16376"
"8.507","2.73","8.302","32","13433","16376"
"8.776","3.09","8.739","32","13433","16376"
"9.045","3.09","9.177","29","13433","16376"
"9.312","3.11","9.607","29","13433","16376"
"9.58","3.09","10.042","29","13433","16376"
"9.85","3.26","10.464","29","13433","16376"
"10.118","3.1","10.893","29","13433","16376"
"10.385","2.93","11.319","30","13433","16376"
"10.654","3.09","11.732","30","13433","16376"
"10.923","2.9","12.172","28","13433","16376"
"11.189","2.57","12.602","28","13433","16376"
"11.459","2.71","13.032","29","13433","16376"
"11.726","2.75","13.151","29","15495","16376"
"11.994","2.91","13.153","37","15495","16376"
"12.264","2.9","13.155","37","15495","16376"
"12.533","2.9","13.157","0","15495","16376"
"12.801","3.28","13.159","0","15495","16376"
"13.069","3.1","13.161","0","15495","16376"
"13.339","2.72","13.228","35","15495","16376"
"13.621","2.94","13.228","35","15495","16376"
"13.889","2.73","13.23","38","15495","16376"
"14.157","3.09","13.232","38","15495","16376"
"14.425","3.09","13.234","0","15495","16376"
"14.695","3.07","13.236","0","15495","16376"
"14.964","3.09","13.239","0","15495","16376"
"15.232","3.1","13.24","0","15495","16376"
"15.528","9.73","13.345","55","15527","16376"
"15.813","73.8","13.929","85","15527","16376"
"16.107","75.15","14.695","85","15565","16376"
"16.403","74.5","15.324","24","15565","16376"
"16.7","74.73","15.635","24","15565","16376"
"16.999","73.76","15.856","36","15565","16376"
"17.286","76.94","16.193","36","15565","16376"
"17.585","39.96","14.719","31","489","16376"
"17.855","3.08","12.433","0","489","16376"
"18.124","3.09","10.216","0","489","16376"
"18.391","3.11","7.998","0","489","16376"
"18.659","3.09","5.784","0","489","16376"
"18.928","3.09","3.518","0","489","16376"
"19.197","3.09","1.279","0","489","16376"
"19.466","2.9","0","0","204","16376"
