"elapsed_s","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib","working_set_gib"
"0.1","22","14487","16376","41.92"
"1.2","44","14567","16376","42.581"
"2.32","51","14567","16376","43.207"
"3.41","51","14567","16376","43.575"
"4.49","54","14649","16376","44.364"
"5.57","43","14649","16376","45.791"
"6.66","40","14649","16376","46.696"
"7.76","53","14649","16376","47.21"
"8.84","54","14649","16376","47.635"
"9.92","56","14729","16376","48.164"
"11.01","52","14729","16376","48.478"
"12.1","51","14729","16376","48.65"
"13.19","57","14729","16376","48.822"
"14.28","82","14729","16376","48.967"
"15.37","58","14729","16376","49.08"
"16.45","55","14729","16376","49.13"
"17.54","83","14729","16376","49.179"
"18.62","60","14729","16376","49.261"
"19.71","57","14729","16376","49.298"
"20.79","89","14729","16376","49.382"
"21.88","66","14729","16376","49.533"
"22.97","57","14729","16376","49.587"
"24.06","92","14729","16376","49.617"
"25.13","57","14729","16376","49.647"
"26.23","60","14729","16376","49.657"
"27.32","79","14729","16376","49.785"
"28.39","65","14729","16376","49.827"
"29.47","52","14729","16376","49.851"
"30.56","78","14729","16376","49.888"
"31.65","61","14729","16376","49.929"
"32.75","65","14729","16376","49.937"
"33.84","93","14729","16376","49.966"
"34.93","56","14729","16376","50.002"
"36.01","68","14729","16376","50.026"
"37.09","88","14729","16376","50.037"
"38.19","58","14729","16376","50.063"
"39.27","54","14729","16376","50.067"
"40.35","75","14729","16376","50.096"
"41.44","57","14729","16376","50.106"
"42.53","58","14729","16376","50.131"
"43.62","61","14729","16376","50.212"
"44.71","58","14729","16376","50.231"
"45.79","61","14729","16376","50.244"
"46.87","94","14729","16376","50.246"
"47.95","76","14729","16376","50.259"
"49.04","68","14729","16376","50.27"
"50.13","52","14729","16376","50.882"
"51.21","56","14729","16376","51.322"
"52.29","59","14729","16376","51.537"
"53.39","61","14729","16376","51.599"
"54.47","60","14729","16376","51.695"
"55.56","58","14729","16376","51.784"
"56.65","60","14729","16376","51.832"
"57.73","59","14729","16376","51.85"
"58.81","61","14729","16376","51.881"
"59.89","81","14729","16376","51.892"
"60.97","60","14729","16376","51.893"
"62.06","59","14729","16376","51.905"
"63.14","81","14729","16376","51.906"
"64.23","71","14729","16376","51.91"
"65.32","65","14729","16376","51.912"
"66.4","66","14729","16376","51.999"
"67.49","59","14729","16376","52.021"
"68.56","82","14729","16376","52.031"
"69.63","94","14729","16376","52.047"
"70.71","84","14729","16376","52.056"
"71.8","61","14729","16376","52.064"
"72.9","80","14729","16376","52.072"
"73.99","83","14729","16376","52.089"
"75.08","56","14729","16376","52.089"
"76.16","59","14729","16376","52.1"
"77.25","78","14729","16376","52.11"
"78.34","57","14729","16376","52.112"
"79.43","63","14729","16376","52.119"
"80.51","84","14729","16376","52.124"
"81.59","58","14729","16376","52.131"
"82.68","57","14729","16376","52.131"
"83.74","77","14729","16376","52.14"
"84.82","83","14729","16376","52.14"
"85.9","58","14729","16376","52.14"
"86.99","75","14729","16376","52.145"
"88.07","60","14729","16376","52.172"
"89.15","51","14729","16376","52.175"
"90.24","89","14729","16376","52.178"
"91.32","93","14729","16376","52.185"
"92.4","63","14729","16376","52.21"
"93.49","90","14729","16376","52.215"
"94.58","58","14729","16376","52.219"
"95.65","67","14729","16376","52.227"
"96.74","57","14729","16376","52.227"
"97.82","58","14729","16376","52.229"
