"elapsed_s","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib","working_set_gib"
"0.1","37","14947","16376","39.982"
"1.2","60","14947","16376","42.771"
"2.3","48","15085","16376","44.461"
"3.38","50","15085","16376","45.712"
"4.47","40","15085","16376","46.7"
"5.56","60","15085","16376","47.416"
"6.64","45","15085","16376","47.922"
"7.73","44","15085","16376","48.432"
"8.82","79","15087","16376","48.85"
"9.9","60","15087","16376","49.119"
"10.99","57","15087","16376","49.235"
"12.08","62","15087","16376","49.337"
"13.16","94","15087","16376","49.466"
"14.25","62","15087","16376","49.567"
"15.34","62","15087","16376","49.62"
"16.42","77","15087","16376","49.655"
"17.51","69","15087","16376","49.763"
"18.6","58","15087","16376","49.8"
"19.69","57","15087","16376","49.839"
"20.77","87","15087","16376","49.925"
"21.85","59","15087","16376","50.046"
"22.94","54","15087","16376","50.076"
"24.03","63","15087","16376","50.134"
"25.11","89","15087","16376","50.159"
"26.2","62","15087","16376","50.199"
"27.29","62","15087","16376","50.211"
"28.38","61","15087","16376","50.471"
"29.47","78","15087","16376","51.121"
"30.55","79","15087","16376","51.43"
"31.64","50","15087","16376","51.566"
"32.73","52","15087","16376","51.642"
"33.82","58","15087","16376","51.746"
"34.89","80","15087","16376","51.842"
"35.98","66","15087","16376","51.932"
"37.07","63","15087","16376","51.946"
"38.15","62","15087","16376","51.985"
"39.22","95","15087","16376","52"
"40.31","66","15087","16376","52.006"
"41.4","86","15087","16376","52.008"
"42.49","70","15087","16376","52.017"
"43.59","93","15087","16376","52.033"
"44.68","73","15087","16376","52.041"
"45.77","73","15087","16376","52.044"
"46.86","77","15087","16376","52.051"
"47.95","77","15087","16376","52.086"
"49.04","63","15087","16376","52.114"
"50.13","58","15087","16376","52.121"
"51.21","33","15087","16376","52.129"
"52.3","74","15087","16376","52.211"
"53.4","64","15087","16376","52.241"
"54.48","63","15087","16376","52.256"
"55.57","64","15087","16376","52.272"
"56.64","93","15087","16376","52.279"
"57.71","63","15087","16376","52.292"
"58.79","55","15087","16376","52.294"
"59.88","66","15087","16376","52.305"
"60.96","93","15087","16376","52.324"
"62.05","66","15087","16376","52.336"
"63.14","63","15087","16376","52.342"
"64.21","64","15087","16376","52.349"
"65.3","81","15087","16376","52.443"
"66.38","75","15087","16376","52.565"
"67.47","87","15087","16376","52.624"
