graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
0,0,GET_ROWS,0,4,0,5,"model.input_embed","token_embd.weight","inp_tokens"
0,69,RMS_NORM,0,0,1,1728,"norm-0","attn_output-0",""
1,5,MUL_MAT,0,325,59,715,"linear_attn_out-0","blk.0.ssm_out.weight","final_output-0"
1,34,SCALE,0,0,1,979,"ffn_moe_inp-0","node_104",""
1,38,ARGSORT,0,23,0,1107,"ffn_moe_argsort-0","ffn_moe_probs-0",""
1,70,ADD,0,2,0,1762,"ffn_moe_out-0","node_140","ffn_moe_weighted-0 (view)"
1,93,MUL_MAT,0,36,3,2809,"ffn_shexp-0","blk.0.ffn_down_shexp.weight","ffn_swiglu-0"
1,96,MUL,0,4,0,2820,"ffn_shexp_gated-0","ffn_shexp-0","shared_expert_gate_sigmoid-0"
1,97,ADD,0,2,0,2822,"ffn_out-0","ffn_moe_out-0","ffn_shexp_gated-0"
1,236,RMS_NORM,0,1,1,5146,"norm-1","attn_output-1",""
2,5,MUL_MAT,0,313,2,623,"linear_attn_out-1","blk.1.ssm_out.weight","final_output-1"
2,34,SCALE,0,13,0,1027,"ffn_moe_inp-1","node_342",""
2,38,ARGSORT,0,22,1,1158,"ffn_moe_argsort-1","ffn_moe_probs-1",""
2,70,ADD,0,1,1,1851,"ffn_moe_out-1","node_378","ffn_moe_weighted-1 (view)"
2,74,MUL_MAT,0,36,7,1979,"ffn_shexp-1","blk.1.ffn_down_shexp.weight","ffn_swiglu-1"
2,77,MUL,0,2,0,2012,"ffn_shexp_gated-1","ffn_shexp-1","shared_expert_gate_sigmoid-1"
2,78,ADD,0,1,1,2014,"ffn_out-1","ffn_moe_out-1","ffn_shexp_gated-1"
2,152,RMS_NORM,0,1,2,3391,"norm-2","attn_output-2",""
3,5,MUL_MAT,0,183,179,720,"linear_attn_out-2","blk.2.ssm_out.weight","final_output-2"
3,34,SCALE,0,0,2,992,"ffn_moe_inp-2","node_496",""
3,38,ARGSORT,0,18,1,1119,"ffn_moe_argsort-2","ffn_moe_probs-2",""
3,70,ADD,0,1,1,1984,"ffn_moe_out-2","node_532","ffn_moe_weighted-2 (view)"
3,74,MUL_MAT,0,19,18,2148,"ffn_shexp-2","blk.2.ffn_down_shexp.weight","ffn_swiglu-2"
3,77,MUL,0,1,1,2180,"ffn_shexp_gated-2","ffn_shexp-2","shared_expert_gate_sigmoid-2"
3,78,ADD,0,1,1,2182,"ffn_out-2","ffn_moe_out-2","ffn_shexp_gated-2"
3,151,RMS_NORM,0,3,1,3149,"norm-3","indexer_k_pooled-3 (reshaped)",""
4,38,MUL_MAT,0,151,171,528,"attn_output-3","blk.3.attn_output.weight","attn_gated-3"
4,66,SCALE,0,0,10,773,"ffn_moe_inp-3","node_683",""
4,70,ARGSORT,0,18,0,895,"ffn_moe_argsort-3","ffn_moe_probs-3",""
4,102,ADD,0,1,1,1577,"ffn_moe_out-3","node_719","ffn_moe_weighted-3 (view)"
4,106,MUL_MAT,0,18,18,1689,"ffn_shexp-3","blk.3.ffn_down_shexp.weight","ffn_swiglu-3"
4,109,MUL,0,2,0,1697,"ffn_shexp_gated-3","ffn_shexp-3","shared_expert_gate_sigmoid-3"
4,110,ADD,0,1,1,1699,"ffn_out-3","ffn_moe_out-3","ffn_shexp_gated-3"
4,184,RMS_NORM,0,0,1,3338,"norm-4","attn_output-4",""
