run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,239,168.667,69.733,238.4
0,1,240,168.734,67.9924,236.726
0,2,241,168.555,69.9881,238.543
0,3,242,168.733,71.1774,239.91
0,4,243,173.562,75.5049,249.067
0,5,244,167.195,66.9636,234.158
0,6,245,178.538,68.2345,246.773
0,7,246,165.814,71.4757,237.29
0,8,247,169.597,67.5182,237.115
0,9,248,188.913,68.9241,257.837
0,10,249,162.149,71.1909,233.34
0,11,250,169.272,67.6435,236.915
0,12,251,181.354,75.3115,256.666
0,13,252,175.483,72.4928,247.976
0,14,253,174.32,72.1811,246.501
0,15,254,169.143,71.1461,240.289
0,16,255,176.836,67.1645,244.001
0,17,256,176.371,71.0235,247.395
0,18,257,173.432,65.9907,239.423
0,19,258,183.941,73.0517,256.993
