"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.508","2.69","0.357","14","459","16376"
"1.078","2.74","0.358","0","459","16376"
"1.641","3.03","0.358","0","459","16376"
"2.208","3.1","0.358","0","459","16376"
"2.772","2.94","0.358","0","459","16376"
"3.339","3.1","0.358","0","459","16376"
"3.903","3.03","0.358","0","459","16376"
"4.471","2.92","0.358","0","459","16376"
"5.036","3.11","0.358","0","459","16376"
"5.606","3","0.998","20","13469","16376"
"6.174","3.09","2.735","15","13469","16376"
"6.743","3.01","4.458","14","13469","16376"
"7.315","3.16","5.854","12","13469","16376"
"7.881","3.11","7.13","12","13469","16376"
"8.448","3.01","8.136","32","13469","16376"
"9.016","3.09","9.068","31","13469","16376"
"9.582","2.85","9.976","30","13469","16376"
"10.149","3.1","10.895","30","13469","16376"
"10.716","2.93","11.843","28","13469","16376"
"11.308","3.13","12.75","27","13469","16376"
"11.875","2.67","13.136","29","14219","16376"
"12.441","3.19","13.155","0","14219","16376"
"13.01","30.18","13.984","59","14249","16376"
"13.606","73.81","15.082","54","14287","16376"
"14.188","73.7","16.404","64","14287","16376"
"14.798","73.85","17.478","27","14287","16376"
"15.393","27.48","13.666","1","525","16376"
"15.958","3.11","9.038","0","525","16376"
"16.519","3.05","4.313","0","525","16376"
"17.083","3.12","0","0","239","16376"
