"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"1.05","2.61","0.356","9","815","16376"
"2.148","3.11","0.356","9","815","16376"
"3.216","3.06","0.356","9","815","16376"
"4.279","3.03","0.357","10","2333","16376"
"5.36","3.02","3.439","25","11665","16376"
"6.427","3.02","6.499","20","11664","16376"
"7.489","3.04","9.046","20","11664","16376"
"8.554","2.98","11.071","20","14706","16376"
"9.617","3.08","11.079","9","14706","16376"
"10.682","2.98","11.087","9","14706","16376"
"11.753","2.92","11.164","9","14706","16376"
"12.833","2.49","11.166","23","14706","16376"
"13.902","3.01","11.175","10","14706","16376"
"14.988","3.01","11.183","9","14706","16376"
"16.056","2.79","11.151","9","14736","16376"
"17.127","69.44","13.408","20","14778","16376"
"18.213","75.33","14.199","27","14778","16376"
"19.297","23.06","6.01","9","862","16376"
"20.366","1.96","0","9","576","16376"
