"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"1.06","2.77","0.356","9","815","16376"
"2.157","3.12","0.356","9","815","16376"
"3.226","3.06","0.356","10","797","16376"
"4.289","3.08","0.357","10","3933","16376"
"5.363","3","3.554","25","11665","16376"
"6.429","3.07","6.6","21","11665","16376"
"7.496","3.06","9.196","21","11665","16376"
"8.562","3.03","11.071","48","15667","16376"
"9.625","3.08","11.079","9","15667","16376"
"10.692","3.11","11.088","9","15667","16376"
"11.756","3.12","11.226","9","15667","16376"
"12.826","3.1","11.231","10","15667","16376"
"13.886","3.09","11.24","10","15667","16376"
"14.95","2.98","11.248","10","15667","16376"
"16.016","32.2","12.514","37","15739","16376"
"17.101","74.27","13.735","53","15739","16376"
"18.168","65.46","12.257","9","863","16376"
"19.236","3.06","1.559","9","863","16376"
"20.298","-219.88","0","9","577","16376"
