layer,coarse_ngl10_primary_device,coarse_layer_elapsed_mean_ms,coarse_layer_p50_ms,coarse_attention_hc_ms,coarse_attn_residual_ffn_hc_ms,coarse_router_ms_scaled_split,coarse_routed_expert_merge_ms_scaled_split,coarse_shared_expert_ms,coarse_moe_shared_merge_ms,coarse_ffn_residual_next_prep_ms,coarse_observed_marker_worker_ms_partial,coarse_observed_marker_barrier_ms_lower_bound,native_expert_only_cpu_graph_ms,native_nonexpert_device,native_routed_expert_device,evidence
20,CPU,3.5060000000000002,3.4595000000000002,0.6733,0.26355,0.14152946783161233,0.7865205321683876,0.13295000000000004,0.015050000000000008,1.4931,0.30710000000000004,0.0709,0.72345,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
21,CPU,3.54365,3.4465000000000003,0.68265,0.27599999999999997,0.13527296443670725,0.8370770355632927,0.12455000000000002,0.013849999999999996,1.47425,0.31315,0.06370000000000002,0.7811,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
22,CPU,3.13655,3.096,0.67515,0.284,0.14002199674380741,0.7728280032561926,0.13369999999999996,0.01665000000000001,1.1142,0.3155,0.06634999999999999,0.7343500000000001,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
23,CPU,3.3443,3.2439999999999998,0.5692,0.25680000000000003,0.12961762221191983,0.8716823777880802,0.1271,0.013849999999999996,1.37605,0.2754000000000001,0.0938,0.6577999999999999,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
24,CPU,3.4866,3.3625,0.67405,0.2609,0.142217839486694,0.803282160513306,0.12345000000000002,0.019500000000000017,1.4632,0.2779,0.09955,0.76,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
25,CPU,3.5423,3.51,0.6919,0.3003,0.14217390383094133,0.8163760961690587,0.12805,0.014449999999999985,1.44905,0.31010000000000004,0.08235000000000002,0.6784,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
26,CPU,3.2462,3.1295,0.67505,0.26505,0.13779079540898154,0.9348592045910186,0.12485000000000003,0.0129,1.0957,0.317,0.05809999999999999,0.7281,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
27,CPU,3.3145,3.3055,0.5678,0.25705,0.13552662652715264,0.7704733734728474,0.11960000000000001,0.01545000000000003,1.4485999999999999,0.29810000000000003,0.06789999999999999,0.7582,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
28,CPU,3.48505,3.409,0.67215,0.27235,0.1399330104923325,0.7855669895076675,0.13935000000000003,0.020250000000000025,1.45545,0.3165500000000001,0.06059999999999999,0.7563,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
29,CPU,3.51515,3.435,0.69045,0.28085,0.13901151094970837,0.8057884890502915,0.13290000000000005,0.011399999999999966,1.45475,0.31539999999999996,0.0671,0.76655,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
30,CPU,3.32005,3.255,0.6737000000000001,0.2658,0.1490111656279008,1.0038888343720993,0.12424999999999999,0.01509999999999998,1.0883,0.29700000000000004,0.08254999999999998,0.82925,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
31,CPU,3.3891,3.4045,0.56895,0.2912,0.13513200591586325,0.8115179940841367,0.1179,0.013500000000000002,1.4508999999999999,0.2822,0.08005000000000001,0.645,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
32,CPU,3.55455,3.525,0.6761,0.26415,0.1449331855743446,0.8149668144256554,0.1345,0.018599999999999985,1.5013,0.3081999999999999,0.07210000000000004,0.6605,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
33,CPU,3.4746,3.5175,0.673,0.2933,0.13921529996648416,0.7657347000335157,0.1383,0.013700000000000013,1.45135,0.28444999999999987,0.09554999999999998,0.65525,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
34,CPU,3.18295,3.141,0.69105,0.29495,0.13684908503767496,0.8471509149623251,0.14899999999999997,0.013500000000000057,1.0504499999999999,0.29519999999999996,0.0997,0.71205,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
35,CPU,3.39185,3.3274999999999997,0.55735,0.2587,0.13633218591289178,0.8593678140871082,0.133,0.017300000000000017,1.4298,0.29300000000000004,0.07229999999999998,0.72,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
36,CPU,3.5305999999999997,3.4095,0.66655,0.2682,0.13526677778389992,0.7928832222161,0.12705,0.01469999999999999,1.52595,0.29855000000000015,0.08205,0.6315,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
37,CPU,3.5073,3.5025000000000004,0.6676,0.26404999999999995,0.14087079678569403,0.780079203214306,0.1254,0.014349999999999974,1.51495,0.3051499999999999,0.07540000000000002,0.673,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
38,CPU,2.1157,2.0380000000000003,0.6629,0.2729,0.154196946214494,0.847353053785506,0.13379999999999997,0.013550000000000052,0.030999999999999937,0.3043,0.07759999999999999,0.6566,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
39,GPU,0.63787145,0.46597350000000004,,,,,,,,,,0.67255,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
40,GPU,0.37515445000000003,0.3028725,,,,,,,,,,0.6959,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
41,GPU,0.3876645,0.3030165,,,,,,,,,,0.68895,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
42,GPU,0.5105176,0.354664,,,,,,,,,,0.6457499999999999,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
43,GPU,0.3880678,0.271706,,,,,,,,,,0.66825,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
44,GPU,0.33689445,0.298361,,,,,,,,,,0.61915,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
45,GPU,0.3662219,0.301769,,,,,,,,,,0.6974,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
46,GPU,0.47185935,0.36933499999999997,,,,,,,,,,0.7303499999999999,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
47,GPU,0.2539861,0.20858749999999998,,,,,,,,,,0.7765,GPU,CPU/RAM,Measured; router/expert split uses a scaled instrumented ratio
