token,wall_ms,gpu_kernel_active_ms,gpu_copy_active_ms,gpu_total_active_ms,gpu_first_last_span_ms,gpu_idle_within_token_ms,gpu_idle_within_span_ms,gpu_ops,kernel_ops,copy_ops,h2d_count,h2d_mb,d2h_count,d2h_mb,d2d_count,d2d_mb,cuda_stream_sync_api_ms,cuda_sync_activity_ms,cuda_memcpy_api_ms,cuda_graph_launch_api_ms,cuda_kernel_launch_api_ms
0,163.392224,4.112376,0.335164,4.44754,159.691309,158.944684,155.243769,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,9.224919,4.301922,3.623281,0.0
1,162.75565,4.82126,0.338356,5.159616,160.391421,157.596034,155.231805,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.18819,3.921346,4.27196,0.0
2,158.386348,4.041136,0.329942,4.371078,155.677611,154.01527,151.306533,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,7.708963,4.176121,4.356792,0.0
3,153.081568,5.003746,0.342746,5.346492,150.555106,147.735076,145.208614,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,10.137612,3.897138,3.416214,0.0
4,158.073764,3.65943,0.340541,3.999971,156.132064,154.073793,152.132093,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,7.880131,4.142636,4.33016,0.0
5,151.073405,3.415366,0.331926,3.747292,148.308023,147.326113,144.560731,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.989815,3.879783,3.126364,0.0
6,156.980478,3.966206,0.32735,4.293556,154.73968,152.686922,150.446124,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.067485,3.871168,3.096433,0.0
7,154.378788,5.135617,0.324282,5.459899,152.261211,148.918889,146.801312,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,10.184089,3.881936,3.381556,0.0
8,157.235356,4.096058,0.326593,4.422651,155.096505,152.812705,150.673854,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.263713,3.939706,3.190345,0.0
9,155.16702,4.075937,0.325976,4.401913,152.476629,150.765107,148.074716,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.474239,3.832394,3.248688,0.0
10,147.496138,3.689091,0.332026,4.021117,145.371323,143.475021,141.350206,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,7.633575,3.618147,3.193013,0.0
11,158.699914,3.830808,0.334228,4.165036,156.577174,154.534878,152.412138,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.610278,3.754476,3.138816,0.0
12,156.62549,4.873644,0.327199,5.200843,153.63865,151.424647,148.437807,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.52544,3.961946,3.255079,0.0
13,158.77574,3.420845,0.332059,3.752904,156.729618,155.022836,152.976714,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,7.924498,4.341727,3.238691,0.0
14,164.58406,4.607213,0.328669,4.935882,162.482572,159.648178,157.54669,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.733593,3.9729,3.79628,0.0
15,165.978719,4.219193,0.551347,4.77054,163.533331,161.208179,158.762791,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,7.327495,4.509673,4.576346,0.0
16,174.317447,3.417957,0.34486,3.762817,171.786189,170.55463,168.023372,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.708843,4.686618,3.753587,0.0
17,170.503095,4.946602,0.327152,5.273754,168.498073,165.229341,163.224319,1013,825,188,90,1.097008,40,2.025472,58,2.078464,0.0,8.567506,4.661655,3.689113,0.0
18,184.4676,3.538881,0.366844,3.905725,177.282155,180.561875,173.37643,1016,828,188,90,1.39576,40,2.320384,58,2.481664,0.0,6.034848,5.464058,0.0,0.0
19,184.182587,4.158291,0.368154,4.526445,181.63463,179.656142,177.108185,1016,828,188,90,1.39576,40,2.320384,58,2.481664,0.0,9.106219,4.76595,3.727634,0.0
