"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.206","2.85","0.201","0","207","16376"
"0.504","2.78","0.357","0","424","16376"
"0.786","2.59","0.358","0","424","16376"
"1.05","2.96","0.358","0","424","16376"
"1.316","2.94","0.358","0","424","16376"
"1.58","2.96","0.358","0","424","16376"
"1.849","3.27","0.358","0","424","16376"
"2.116","3.1","0.358","0","424","16376"
"2.385","3.09","0.358","0","424","16376"
"2.668","3.1","0.358","0","424","16376"
"2.939","3.06","0.358","0","424","16376"
"3.208","3.27","0.358","0","424","16376"
"3.477","3.09","0.358","0","424","16376"
"3.744","3.1","0.358","0","424","16376"
"4.012","3.1","0.358","0","424","16376"
"4.282","3.07","0.358","0","424","16376"
"4.547","3.13","0.358","0","424","16376"
"4.816","3.27","0.358","0","424","16376"
"5.085","3.09","0.358","0","424","16376"
"5.354","2.91","0.451","97","11292","16376"
"5.622","3.1","1.324","97","11292","16376"
"5.907","2.74","2.145","15","11292","16376"
"6.175","3.09","2.962","15","11292","16376"
"6.442","2.92","3.779","15","11292","16376"
"6.711","3.09","4.595","15","11292","16376"
"6.981","2.89","5.257","15","11292","16376"
"7.25","2.73","5.864","15","11292","16376"
"7.519","3.09","6.486","12","11292","16376"
"7.787","2.73","7.123","12","11292","16376"
"8.056","3.09","7.687","12","11292","16376"
"8.325","3.09","8.174","33","11292","16376"
"8.593","2.91","8.646","33","11292","16376"
"8.862","2.9","9.092","30","11292","16376"
"9.129","2.75","9.516","30","11292","16376"
"9.397","3.09","9.942","28","11292","16376"
"9.662","3.13","10.353","28","11292","16376"
"9.929","3.12","10.807","27","11292","16376"
"10.21","3.12","11.027","27","13518","16376"
"10.476","3.13","11.041","80","13576","16376"
"10.74","2.95","11.043","80","13576","16376"
"11.004","2.96","11.045","0","13576","16376"
"11.273","3.1","11.107","0","13576","16376"
"11.555","3.11","11.107","44","13576","16376"
"11.84","2.91","11.108","66","13576","16376"
"12.107","3.11","11.11","66","13576","16376"
"12.369","3.17","11.112","0","13576","16376"
"12.636","2.92","11.113","0","13576","16376"
"12.905","19.48","11.354","44","13606","16376"
"13.188","73.8","12.083","44","13606","16376"
"13.469","74.06","13.294","35","13644","16376"
"13.778","75.04","14.218","35","13644","16376"
"14.087","75.61","14.759","19","13644","16376"
"14.395","74.91","15.263","26","13644","16376"
"14.674","70.93","14.963","26","490","16376"
"14.935","3.18","12.83","0","490","16376"
"15.199","3.15","10.71","0","490","16376"
"15.462","3.16","8.591","0","490","16376"
"15.724","2.97","6.488","0","490","16376"
"15.987","2.98","4.33","0","490","16376"
"16.25","3.16","2.21","0","490","16376"
"16.511","3.18","0.389","0","490","16376"
