"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.216","2.71","0.199","0","207","16376"
"0.48","3.14","0.357","0","424","16376"
"0.746","2.58","0.358","0","424","16376"
"1.012","2.75","0.358","0","424","16376"
"1.276","3.15","0.358","0","424","16376"
"1.54","2.58","0.358","0","424","16376"
"1.808","2.92","0.358","0","424","16376"
"2.075","3.12","0.358","0","424","16376"
"2.341","3.12","0.358","0","424","16376"
"2.608","2.75","0.358","0","424","16376"
"2.873","2.76","0.358","0","424","16376"
"3.142","3.09","0.358","0","424","16376"
"3.409","2.93","0.358","0","424","16376"
"3.678","3.08","0.358","0","424","16376"
"3.945","2.92","0.358","0","424","16376"
"4.211","2.95","0.358","0","424","16376"
"4.474","3.15","0.358","0","424","16376"
"4.739","3.14","0.358","0","424","16376"
"5.002","3.16","0.358","0","424","16376"
"5.263","2.98","0.358","0","7400","16376"
"5.542","3.16","0.85","0","13434","16376"
"5.803","2.81","1.636","14","13434","16376"
"6.066","3.15","2.423","14","13434","16376"
"6.329","2.79","3.209","14","13434","16376"
"6.593","3.14","4.009","14","13434","16376"
"6.873","3.15","4.817","14","13434","16376"
"7.139","2.93","5.438","12","13434","16376"
"7.403","2.96","6.011","12","13434","16376"
"7.669","3.12","6.627","11","13434","16376"
"7.933","2.96","7.241","11","13434","16376"
"8.198","2.77","7.781","12","13434","16376"
"8.462","3.13","8.24","12","13434","16376"
"8.729","2.93","8.705","31","13434","16376"
"8.997","2.92","9.163","31","13434","16376"
"9.264","3.1","9.602","28","13434","16376"
"9.532","3.09","10.031","28","13434","16376"
"9.803","3.07","10.453","28","13434","16376"
"10.069","2.93","10.89","28","13434","16376"
"10.333","3.15","11.327","30","13434","16376"
"10.6","3.11","11.74","30","13434","16376"
"10.867","2.74","12.171","28","13434","16376"
"11.137","3.26","12.613","30","13434","16376"
"11.401","3.14","13.056","30","13434","16376"
"11.68","2.79","13.141","57","14814","16376"
"11.946","2.58","13.143","57","14814","16376"
"12.211","2.95","13.145","0","14814","16376"
"12.479","3.09","13.178","0","14814","16376"
"12.742","3.15","13.179","41","14814","16376"
"13.006","2.96","13.181","41","14814","16376"
"13.27","2.95","13.183","0","14814","16376"
"13.54","3.26","13.184","0","14814","16376"
"13.804","16.09","13.473","45","14844","16376"
"14.104","77.35","14.151","45","14844","16376"
"14.403","74.03","14.738","63","14872","16376"
"14.717","73.35","15.24","52","14882","16376"
"15.015","74.15","15.68","52","14882","16376"
"15.3","73.59","16.422","65","14882","16376"
"15.599","73.29","16.776","24","14882","16376"
"15.912","74.05","17.269","24","14882","16376"
"16.212","51.38","15.958","9","490","16376"
"16.478","3.3","13.529","9","490","16376"
"16.762","3.1","11.351","0","490","16376"
"17.031","2.9","9.105","0","490","16376"
"17.299","3.1","6.818","0","490","16376"
"17.568","3.09","4.565","0","490","16376"
"17.836","3.1","2.399","0","490","16376"
"18.105","3.26","0.394","0","490","16376"
