"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.214","2.74","0.199","0","207","16376"
"0.48","3.12","0.357","1","424","16376"
"0.747","1.83","0.358","1","424","16376"
"1.016","3.08","0.358","0","424","16376"
"1.287","3.25","0.358","0","424","16376"
"1.552","3.13","0.358","0","424","16376"
"1.822","3.07","0.358","0","424","16376"
"2.091","3.09","0.358","0","424","16376"
"2.36","2.91","0.358","0","424","16376"
"2.628","2.9","0.358","0","424","16376"
"2.899","3.25","0.358","0","424","16376"
"3.169","2.89","0.358","0","424","16376"
"3.439","3.08","0.358","0","424","16376"
"3.704","2.94","0.358","0","424","16376"
"3.974","3.26","0.358","0","424","16376"
"4.241","3.1","0.358","0","424","16376"
"4.504","3.16","0.358","0","424","16376"
"4.774","2.9","0.358","0","424","16376"
"5.042","3.09","0.358","0","424","16376"
"5.31","3.11","0.358","0","12008","16376"
"5.61","3.09","1.142","97","13434","16376"
"5.88","3.07","1.976","15","13434","16376"
"6.147","3.11","2.788","15","13434","16376"
"6.414","3.1","3.611","15","13434","16376"
"6.68","2.94","4.418","15","13434","16376"
"6.945","3.13","5.122","13","13434","16376"
"7.212","3.11","5.741","13","13434","16376"
"7.479","3.11","6.356","10","13434","16376"
"7.746","3.1","6.992","10","13434","16376"
"8.015","3.09","7.489","31","13434","16376"
"8.284","3.09","7.978","31","13434","16376"
"8.55","2.93","8.433","32","13434","16376"
"8.817","2.93","8.888","32","13434","16376"
"9.088","3.07","9.333","29","13434","16376"
"9.355","3.11","9.797","30","13434","16376"
"9.637","3.11","10.235","30","13434","16376"
"9.904","3.11","10.659","30","13434","16376"
"10.172","2.91","11.093","30","13434","16376"
"10.44","2.92","11.535","30","13434","16376"
"10.707","2.74","11.965","30","13434","16376"
"10.977","3.08","12.396","29","13434","16376"
"11.245","3.1","12.816","29","13434","16376"
"11.511","3.12","13.127","30","14384","16376"
"11.779","3.09","13.142","30","14526","16376"
"12.047","3.09","13.144","0","14526","16376"
"12.316","3.27","13.178","0","14526","16376"
"12.586","3.08","13.179","35","14526","16376"
"12.854","3.09","13.181","35","14526","16376"
"13.123","2.91","13.183","0","14526","16376"
"13.393","3.08","13.201","30","14556","16376"
"13.66","55.95","13.89","30","14556","16376"
"13.943","74.07","14.418","56","14570","16376"
"14.243","73.82","14.947","56","14594","16376"
"14.528","73.58","15.516","64","14594","16376"
"14.813","71.43","16.141","64","14594","16376"
"15.128","73.1","16.555","40","14594","16376"
"15.426","76.69","16.818","40","14594","16376"
"15.709","74.02","17.167","40","14594","16376"
"16.01","43.88","15.749","1","490","16376"
"16.278","3.1","13.504","1","490","16376"
"16.546","3.09","11.279","0","490","16376"
"16.817","3.07","9.07","0","490","16376"
"17.085","2.91","6.843","0","490","16376"
"17.352","3.11","4.602","0","490","16376"
"17.62","2.91","2.372","0","490","16376"
"17.889","3.09","0.405","0","490","16376"
"18.154","1.29","0","0","204","16376"
