"elapsed_s","cpu_percent","working_set_gib","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib"
"0.511","2.96","0.357","0","459","16376"
"1.078","2.58","0.358","0","459","16376"
"1.643","3.11","0.358","0","459","16376"
"2.209","3.11","0.358","0","459","16376"
"2.775","3.1","0.358","0","459","16376"
"3.339","3.03","0.358","0","459","16376"
"3.901","3.04","0.358","0","459","16376"
"4.461","3.14","0.358","0","459","16376"
"5.025","3.12","0.358","0","459","16376"
"5.592","2.84","1.122","13","13469","16376"
"6.158","2.94","2.874","15","13469","16376"
"6.726","3.09","4.634","15","13469","16376"
"7.289","3.12","5.954","11","13469","16376"
"7.856","3.1","7.175","12","13469","16376"
"8.424","3.09","8.198","33","13469","16376"
"8.989","3.11","9.153","30","13469","16376"
"9.554","3.03","10.087","30","13469","16376"
"10.12","3.1","11.007","28","13469","16376"
"10.689","3.09","11.95","30","13469","16376"
"11.254","3.11","12.864","28","13469","16376"
"11.823","3.01","13.137","0","13955","16376"
"12.389","3.19","13.228","0","13985","16376"
"12.971","66.52","14.59","59","14009","16376"
"13.564","74.76","15.687","41","14023","16376"
"14.162","73.9","16.944","32","14023","16376"
"14.773","70.48","16.598","28","525","16376"
"15.355","3.02","11.801","0","525","16376"
"15.925","3.09","7.043","0","525","16376"
"16.493","3.09","2.31","0","525","16376"
"17.058","2.07","0","0","239","16376"
