run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,0,239,143.912,4.4441,148.356
0,1,240,143.688,4.8439,148.532
0,2,241,142.567,4.9933,147.561
0,3,242,145.402,4.4012,149.803
0,4,243,150.013,4.6454,154.658
0,5,244,145.537,4.4186,149.956
0,6,245,148.545,4.3604,152.906
0,7,246,146.769,4.3681,151.137
0,8,247,148.046,4.2537,152.299
0,9,248,147.597,4.5168,152.114
0,10,249,141.663,4.6429,146.306
0,11,250,155.806,4.4481,160.254
0,12,251,148.416,4.4599,152.876
0,13,252,146.412,3.9167,150.329
0,14,253,149.069,4.3993,153.469
0,15,254,141.971,3.885,145.856
0,16,255,148.447,4.3943,152.841
0,17,256,151.226,5.1978,156.423
0,18,257,160.707,1.1953,161.903
0,19,258,157.548,4.1004,161.649
