graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
9,78,ADD,0,1,1,1868,"ffn_out-8","ffn_moe_out-8","ffn_shexp_gated-8"
9,152,RMS_NORM,0,0,3,3266,"norm-9","attn_output-9",""
10,5,MUL_MAT,0,190,157,663,"linear_attn_out-9","blk.9.ssm_out.weight","final_output-9"
10,34,SCALE,0,0,1,920,"ffn_moe_inp-9","node_1640",""
10,70,ADD,0,1,1,1696,"ffn_moe_out-9","node_1676","ffn_moe_weighted-9 (view)"
10,74,MUL_MAT,0,19,18,1809,"ffn_shexp-9","blk.9.ffn_down_shexp.weight","ffn_swiglu-9"
10,77,MUL,0,2,0,1817,"ffn_shexp_gated-9","ffn_shexp-9","shared_expert_gate_sigmoid-9"
10,78,ADD,0,1,1,1819,"ffn_out-9","ffn_moe_out-9","ffn_shexp_gated-9"
10,152,RMS_NORM,0,1,1,3209,"norm-10","attn_output-10",""
11,5,MUL_MAT,0,213,125,650,"linear_attn_out-10","blk.10.ssm_out.weight","final_output-10"
11,34,SCALE,0,1,7,1051,"ffn_moe_inp-10","node_1794",""
11,70,ADD,0,1,0,1943,"ffn_moe_out-10","node_1830","ffn_moe_weighted-10 (view)"
11,74,MUL_MAT,0,32,6,2092,"ffn_shexp-10","blk.10.ffn_down_shexp.weight","ffn_swiglu-10"
11,77,MUL,0,2,0,2100,"ffn_shexp_gated-10","ffn_shexp-10","shared_expert_gate_sigmoid-10"
11,78,ADD,0,1,0,2102,"ffn_out-10","ffn_moe_out-10","ffn_shexp_gated-10"
11,151,RMS_NORM,0,4,0,3122,"norm-11","indexer_k_pooled-11 (reshaped)",""
12,38,MUL_MAT,0,270,49,579,"attn_output-11","blk.11.attn_output.weight","attn_gated-11"
12,66,SCALE,0,0,1,824,"ffn_moe_inp-11","node_1981",""
12,102,ADD,0,1,1,2203,"ffn_moe_out-11","node_2017","ffn_moe_weighted-11 (view)"
12,106,MUL_MAT,0,30,6,2339,"ffn_shexp-11","blk.11.ffn_down_shexp.weight","ffn_swiglu-11"
12,109,MUL,0,2,0,2357,"ffn_shexp_gated-11","ffn_shexp-11","shared_expert_gate_sigmoid-11"
12,110,ADD,0,1,0,2359,"ffn_out-11","ffn_moe_out-11","ffn_shexp_gated-11"
12,184,RMS_NORM,0,0,1,3716,"norm-12","attn_output-12",""
13,5,MUL_MAT,0,285,54,669,"linear_attn_out-12","blk.12.ssm_out.weight","final_output-12"
13,34,SCALE,0,0,2,908,"ffn_moe_inp-12","node_2135",""
13,70,ADD,0,1,0,1650,"ffn_moe_out-12","node_2171","ffn_moe_weighted-12 (view)"
13,74,MUL_MAT,0,29,6,1760,"ffn_shexp-12","blk.12.ffn_down_shexp.weight","ffn_swiglu-12"
13,77,MUL,0,2,1,1768,"ffn_shexp_gated-12","ffn_shexp-12","shared_expert_gate_sigmoid-12"
13,78,ADD,0,1,1,1770,"ffn_out-12","ffn_moe_out-12","ffn_shexp_gated-12"
13,152,RMS_NORM,0,1,1,3154,"norm-13","attn_output-13",""
14,5,MUL_MAT,0,290,61,687,"linear_attn_out-13","blk.13.ssm_out.weight","final_output-13"
14,34,SCALE,0,0,2,939,"ffn_moe_inp-13","node_2289",""
14,70,ADD,0,2,0,2168,"ffn_moe_out-13","node_2325","ffn_moe_weighted-13 (view)"
14,74,MUL_MAT,0,27,11,2284,"ffn_shexp-13","blk.13.ffn_down_shexp.weight","ffn_swiglu-13"
14,77,MUL,0,2,0,2291,"ffn_shexp_gated-13","ffn_shexp-13","shared_expert_gate_sigmoid-13"
14,78,ADD,0,1,0,2293,"ffn_out-13","ffn_moe_out-13","ffn_shexp_gated-13"
14,152,RMS_NORM,0,0,2,3692,"norm-14","attn_output-14",""
15,5,MUL_MAT,0,280,50,658,"linear_attn_out-14","blk.14.ssm_out.weight","final_output-14"
15,34,SCALE,0,0,2,1000,"ffn_moe_inp-14","node_2443",""
15,70,ADD,0,1,29,2538,"ffn_moe_out-14","node_2479","ffn_moe_weighted-14 (view)"
15,74,MUL_MAT,0,33,8,2665,"ffn_shexp-14","blk.14.ffn_down_shexp.weight","ffn_swiglu-14"
15,77,MUL,0,2,0,2674,"ffn_shexp_gated-14","ffn_shexp-14","shared_expert_gate_sigmoid-14"
15,78,ADD,0,1,2,2677,"ffn_out-14","ffn_moe_out-14","ffn_shexp_gated-14"
15,151,RMS_NORM,0,5,0,3748,"norm-15","indexer_k_pooled-15 (reshaped)",""
16,38,MUL_MAT,0,245,65,522,"attn_output-15","blk.15.attn_output.weight","attn_gated-15"
16,66,SCALE,0,0,2,761,"ffn_moe_inp-15","node_2630",""
16,102,ADD,0,1,0,1914,"ffn_moe_out-15","node_2666","ffn_moe_weighted-15 (view)"
16,106,MUL_MAT,0,34,12,2041,"ffn_shexp-15","blk.15.ffn_down_shexp.weight","ffn_swiglu-15"
16,109,MUL,0,3,6,2054,"ffn_shexp_gated-15","ffn_shexp-15","shared_expert_gate_sigmoid-15"
16,110,ADD,0,1,9,2064,"ffn_out-15","ffn_moe_out-15","ffn_shexp_gated-15"
16,184,RMS_NORM,0,0,2,3458,"norm-16","attn_output-16",""
17,5,MUL_MAT,0,266,65,671,"linear_attn_out-16","blk.16.ssm_out.weight","final_output-16"
17,34,SCALE,0,1,1,929,"ffn_moe_inp-16","node_2784",""
17,70,ADD,0,1,6,1724,"ffn_moe_out-16","node_2820","ffn_moe_weighted-16 (view)"
17,74,MUL_MAT,0,32,10,1846,"ffn_shexp-16","blk.16.ffn_down_shexp.weight","ffn_swiglu-16"
17,77,MUL,0,2,0,1855,"ffn_shexp_gated-16","ffn_shexp-16","shared_expert_gate_sigmoid-16"
17,78,ADD,0,2,0,1857,"ffn_out-16","ffn_moe_out-16","ffn_shexp_gated-16"
17,152,RMS_NORM,0,0,2,3166,"norm-17","attn_output-17",""
18,5,MUL_MAT,0,286,46,635,"linear_attn_out-17","blk.17.ssm_out.weight","final_output-17"
18,34,SCALE,0,0,0,911,"ffn_moe_inp-17","node_2938",""
18,70,ADD,0,2,0,1733,"ffn_moe_out-17","node_2974","ffn_moe_weighted-17 (view)"
18,74,MUL_MAT,0,31,7,1858,"ffn_shexp-17","blk.17.ffn_down_shexp.weight","ffn_swiglu-17"
18,77,MUL,0,2,1,1891,"ffn_shexp_gated-17","ffn_shexp-17","shared_expert_gate_sigmoid-17"
18,78,ADD,0,1,1,1893,"ffn_out-17","ffn_moe_out-17","ffn_shexp_gated-17"
18,152,RMS_NORM,0,0,7,3269,"norm-18","attn_output-18",""
19,5,MUL_MAT,0,277,69,712,"linear_attn_out-18","blk.18.ssm_out.weight","final_output-18"
19,34,SCALE,0,0,1,1024,"ffn_moe_inp-18","node_3092",""
19,70,ADD,0,1,1,1831,"ffn_moe_out-18","node_3128","ffn_moe_weighted-18 (view)"
19,74,MUL_MAT,0,27,7,1939,"ffn_shexp-18","blk.18.ffn_down_shexp.weight","ffn_swiglu-18"
19,77,MUL,0,2,0,1947,"ffn_shexp_gated-18","ffn_shexp-18","shared_expert_gate_sigmoid-18"
19,78,ADD,0,1,1,1949,"ffn_out-18","ffn_moe_out-18","ffn_shexp_gated-18"
19,151,RMS_NORM,0,4,0,3120,"norm-19","indexer_k_pooled-19 (reshaped)",""
20,38,MUL_MAT,0,260,70,558,"attn_output-19","blk.19.attn_output.weight","attn_gated-19"
20,66,SCALE,0,0,1,792,"ffn_moe_inp-19","node_3279",""
20,102,ADD,0,1,0,2069,"ffn_moe_out-19","node_3315","ffn_moe_weighted-19 (view)"
20,106,MUL_MAT,0,31,12,2194,"ffn_shexp-19","blk.19.ffn_down_shexp.weight","ffn_swiglu-19"
20,109,MUL,0,2,1,2207,"ffn_shexp_gated-19","ffn_shexp-19","shared_expert_gate_sigmoid-19"
20,110,ADD,0,1,0,2208,"ffn_out-19","ffn_moe_out-19","ffn_shexp_gated-19"
20,184,RMS_NORM,0,0,1,3688,"norm-20","attn_output-20",""
21,5,MUL_MAT,0,277,55,662,"linear_attn_out-20","blk.20.ssm_out.weight","final_output-20"
21,34,SCALE,0,0,1,986,"ffn_moe_inp-20","node_3433",""
21,70,ADD,0,1,1,2206,"ffn_moe_out-20","node_3469","ffn_moe_weighted-20 (view)"
21,74,MUL_MAT,0,31,8,2367,"ffn_shexp-20","blk.20.ffn_down_shexp.weight","ffn_swiglu-20"
21,77,MUL,0,2,0,2385,"ffn_shexp_gated-20","ffn_shexp-20","shared_expert_gate_sigmoid-20"
21,78,ADD,0,1,0,2387,"ffn_out-20","ffn_moe_out-20","ffn_shexp_gated-20"
21,152,RMS_NORM,0,1,1,3707,"norm-21","attn_output-21",""
22,5,MUL_MAT,0,279,58,670,"linear_attn_out-21","blk.21.ssm_out.weight","final_output-21"
22,34,SCALE,0,1,1,894,"ffn_moe_inp-21","node_3587",""
22,70,ADD,0,2,0,1626,"ffn_moe_out-21","node_3623","ffn_moe_weighted-21 (view)"
22,74,MUL_MAT,0,30,6,1736,"ffn_shexp-21","blk.21.ffn_down_shexp.weight","ffn_swiglu-21"
22,77,MUL,0,2,0,1743,"ffn_shexp_gated-21","ffn_shexp-21","shared_expert_gate_sigmoid-21"
22,78,ADD,0,1,1,1745,"ffn_out-21","ffn_moe_out-21","ffn_shexp_gated-21"
22,152,RMS_NORM,0,0,1,3102,"norm-22","attn_output-22",""
23,5,MUL_MAT,0,287,50,674,"linear_attn_out-22","blk.22.ssm_out.weight","final_output-22"
23,34,SCALE,0,0,1,931,"ffn_moe_inp-22","node_3741",""
23,70,ADD,0,2,0,1772,"ffn_moe_out-22","node_3777","ffn_moe_weighted-22 (view)"
23,74,MUL_MAT,0,32,4,1900,"ffn_shexp-22","blk.22.ffn_down_shexp.weight","ffn_swiglu-22"
23,77,MUL,0,2,0,1908,"ffn_shexp_gated-22","ffn_shexp-22","shared_expert_gate_sigmoid-22"
23,78,ADD,0,1,1,1910,"ffn_out-22","ffn_moe_out-22","ffn_shexp_gated-22"
23,151,RMS_NORM,0,4,1,2966,"norm-23","indexer_k_pooled-23 (reshaped)",""
24,38,MUL_MAT,0,285,57,591,"attn_output-23","blk.23.attn_output.weight","attn_gated-23"
