graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
110,3,MUL_MAT_ID,0,144,84,624,"ffn_moe_down-8","blk.8.ffn_down_exps.weight","ffn_moe_swiglu-8"
111,3,MUL_MAT_ID,0,175,55,604,"ffn_moe_down-9","blk.9.ffn_down_exps.weight","ffn_moe_swiglu-9"
112,3,MUL_MAT_ID,0,221,20,660,"ffn_moe_down-10","blk.10.ffn_down_exps.weight","ffn_moe_swiglu-10"
113,3,MUL_MAT_ID,0,490,2,1382,"ffn_moe_down-11","blk.11.ffn_down_exps.weight","ffn_moe_swiglu-11"
114,3,MUL_MAT_ID,0,222,7,625,"ffn_moe_down-12","blk.12.ffn_down_exps.weight","ffn_moe_swiglu-12"
115,3,MUL_MAT_ID,0,198,21,591,"ffn_moe_down-13","blk.13.ffn_down_exps.weight","ffn_moe_swiglu-13"
116,3,MUL_MAT_ID,0,305,75,1008,"ffn_moe_down-14","blk.14.ffn_down_exps.weight","ffn_moe_swiglu-14"
117,3,MUL_MAT_ID,0,208,20,646,"ffn_moe_down-15","blk.15.ffn_down_exps.weight","ffn_moe_swiglu-15"
118,3,MUL_MAT_ID,0,197,27,629,"ffn_moe_down-16","blk.16.ffn_down_exps.weight","ffn_moe_swiglu-16"
119,3,MUL_MAT_ID,0,195,22,600,"ffn_moe_down-17","blk.17.ffn_down_exps.weight","ffn_moe_swiglu-17"
120,3,MUL_MAT_ID,0,451,5,1351,"ffn_moe_down-18","blk.18.ffn_down_exps.weight","ffn_moe_swiglu-18"
121,3,MUL_MAT_ID,0,205,32,676,"ffn_moe_down-19","blk.19.ffn_down_exps.weight","ffn_moe_swiglu-19"
122,3,MUL_MAT_ID,0,222,3,615,"ffn_moe_down-20","blk.20.ffn_down_exps.weight","ffn_moe_swiglu-20"
123,3,MUL_MAT_ID,0,300,56,1087,"ffn_moe_down-21","blk.21.ffn_down_exps.weight","ffn_moe_swiglu-21"
