run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,152,391,52.7198,2.5858,55.3056
0,153,392,58.8904,2.2014,61.0918
0,154,393,56.4525,1.579,58.0315
0,155,394,57.5064,1.5598,59.0662
0,156,395,56.5789,1.6987,58.2776
0,157,396,57.4896,1.4498,58.9394
0,158,397,53.9528,2.0411,55.9939
0,159,398,56.5283,1.373,57.9013
0,160,399,58.9522,1.3226,60.2748
0,161,400,51.5427,1.3201,52.8628
0,162,401,55.7981,1.4751,57.2732
0,163,402,56.8644,1.6372,58.5016
0,164,403,55.4276,1.459,56.8866
0,165,404,52.9746,2.4629,55.4375
0,166,405,59.15,1.5399,60.6899
0,167,406,57.9106,1.2972,59.2078
0,168,407,60.625,2.0289,62.6539
0,169,408,52.4304,1.3347,53.7651
0,170,409,61.003,1.9651,62.9681
0,171,410,58.281,2.1734,60.4544
0,172,411,57.262,1.5082,58.7702
0,173,412,55.4952,1.5557,57.0509
0,174,413,62.0334,1.3223,63.3557
0,175,414,55.8637,1.5123,57.376
0,176,415,56.3041,1.6622,57.9663
0,177,416,55.7249,1.3181,57.043
0,178,417,51.6479,2.4104,54.0583
0,179,418,58.2876,1.4707,59.7583
0,180,419,58.328,1.5055,59.8335
0,181,420,54.0664,1.566,55.6324
0,182,421,55.4737,1.6043,57.078
0,183,422,54.1013,2.2644,56.3657
0,184,423,53.3268,1.7992,55.126
0,185,424,53.5036,1.7467,55.2503
0,186,425,53.0142,1.6492,54.6634
0,187,426,54.5758,1.4804,56.0562
0,188,427,54.7711,2.278,57.0491
0,189,428,53.1462,2.3079,55.4541
0,190,429,55.252,1.2809,56.5329
0,191,430,53.0641,2.0328,55.0969
0,192,431,55.2996,1.4858,56.7854
0,193,432,53.183,1.3461,54.5291
0,194,433,55.4132,1.3612,56.7744
0,195,434,52.3706,1.3569,53.7275
0,196,435,51.432,1.3615,52.7935
0,197,436,53.3266,1.3685,54.6951
0,198,437,51.0961,2.3281,53.4242
0,199,438,57.6014,1.3521,58.9535
0,200,439,59.5616,1.6377,61.1993
0,201,440,61.0456,2.461,63.5066
0,202,441,58.1845,2.2133,60.3978
0,203,442,56.4424,1.3735,57.8159
0,204,443,53.4191,1.2759,54.695
0,205,444,54.5682,1.3026,55.8708
0,206,445,55.8838,1.5327,57.4165
0,207,446,53.8989,1.631,55.5299
0,208,447,57.3579,1.5775,58.9354
0,209,448,58.004,1.5445,59.5485
0,210,449,55.6958,1.5581,57.2539
0,211,450,56.4578,1.3086,57.7664
0,212,451,53.919,1.3112,55.2302
0,213,452,66.4353,2.0942,68.5295
0,214,453,63.5873,1.3812,64.9685
0,215,454,60.5069,2.0384,62.5453
0,216,455,58.1374,1.6868,59.8242
0,217,456,55.2148,1.6569,56.8717
0,218,457,55.776,1.459,57.235
0,219,458,59.904,1.2864,61.1904
0,220,459,55.9798,1.2894,57.2692
0,221,460,53.1802,1.6982,54.8784
0,222,461,59.5445,1.3266,60.8711
0,223,462,55.667,1.9397,57.6067
0,224,463,55.7601,1.8822,57.6423
0,225,464,53.619,1.5143,55.1333
0,226,465,55.3039,1.5278,56.8317
0,227,466,54.7592,1.3475,56.1067
0,228,467,54.7146,1.6778,56.3924
0,229,468,58.2106,1.2712,59.4818
0,230,469,54.7132,1.371,56.0842
0,231,470,53.7616,1.3795,55.1411
0,232,471,55.1993,1.4274,56.6267
0,233,472,52.995,1.4687,54.4637
0,234,473,56.7959,2.184,58.9799
0,235,474,56.4004,1.3643,57.7647
0,236,475,57.2548,2.2135,59.4683
0,237,476,52.8943,1.6858,54.5801
0,238,477,53.4766,1.9179,55.3945
0,239,478,54.0905,2.558,56.6485
0,240,479,58.1967,1.9239,60.1206
0,241,480,53.2264,2.3365,55.5629
0,242,481,53.3881,1.9642,55.3523
0,243,482,55.4147,1.7084,57.1231
0,244,483,53.9929,1.3715,55.3644
0,245,484,52.0156,2.0708,54.0864
0,246,485,50.8603,1.4532,52.3135
0,247,486,56.2969,2.3475,58.6444
0,248,487,55.7727,1.3296,57.1023
0,249,488,57.4501,2.2334,59.6835
0,250,489,53.2588,2.3918,55.6506
0,251,490,54.5065,1.7897,56.2962
0,252,491,56.403,1.4366,57.8396
0,253,492,55.0515,1.6438,56.6953
0,254,493,55.2173,1.9992,57.2165
0,255,494,54.3706,1.549,55.9196
0,256,495,59.0891,1.5803,60.6694
0,257,496,58.507,1.905,60.412
0,258,497,61.2935,1.2237,62.5172
0,259,498,52.8851,1.8722,54.7573
0,260,499,55.0791,1.5611,56.6402
0,261,500,55.2156,1.4914,56.707
0,262,501,54.5557,1.3496,55.9053
0,263,502,62.025,1.3434,63.3684
0,264,503,56.5233,1.57,58.0933
0,265,504,54.4688,1.3347,55.8035
0,266,505,56.4663,2.3247,58.791
0,267,506,53.4514,1.8828,55.3342
0,268,507,52.7654,2.3073,55.0727
0,269,508,53.2509,1.4945,54.7454
0,270,509,57.7475,1.3145,59.062
0,271,510,53.5962,1.4452,55.0414
0,272,511,59.7706,1.3981,61.1687
