"profile","cache_type_k","cache_type_v","ok","first_token","wall_s","alloc_lines"
"f16-f16","f16","f16","True","198","8.676","llama_kv_cache:      CUDA0 KV buffer size =   768.00 MiB | llama_kv_cache:      CUDA0 KV buffer size =   288.00 MiB | sched_reserve:      CUDA0 compute buffer size =    24.76 MiB | sched_reserve:  CUDA_Host compute buffer size =     0.66 MiB | ~llama_context:      CUDA0 compute buffer size is  24.7574 MiB, matches expectation of  24.7574 MiB | ~llama_context:  CUDA_Host compute buffer size is   0.6595 MiB, matches expectation of   0.6595 MiB"
"q8-q8","q8_0","q8_0","True","198","8.236","llama_kv_cache:      CUDA0 KV buffer size =   408.00 MiB | llama_kv_cache:      CUDA0 KV buffer size =   153.01 MiB | sched_reserve:      CUDA0 compute buffer size =    25.04 MiB | sched_reserve:  CUDA_Host compute buffer size =     0.93 MiB | ~llama_context:      CUDA0 compute buffer size is  25.0387 MiB, matches expectation of  25.0387 MiB | ~llama_context:  CUDA_Host compute buffer size is   0.9251 MiB, matches expectation of   0.9251 MiB"
"q8-q4","q8_0","q4_0","True","198","8.168","llama_kv_cache:      CUDA0 KV buffer size =   312.00 MiB | llama_kv_cache:      CUDA0 KV buffer size =   105.01 MiB | sched_reserve:      CUDA0 compute buffer size =    25.04 MiB | sched_reserve:  CUDA_Host compute buffer size =     0.93 MiB | ~llama_context:      CUDA0 compute buffer size is  25.0387 MiB, matches expectation of  25.0387 MiB | ~llama_context:  CUDA_Host compute buffer size is   0.9251 MiB, matches expectation of   0.9251 MiB"
"q4-q4","q4_0","q4_0","True","198","8.059","llama_kv_cache:      CUDA0 KV buffer size =   216.00 MiB | llama_kv_cache:      CUDA0 KV buffer size =    81.01 MiB | sched_reserve:      CUDA0 compute buffer size =    25.04 MiB | sched_reserve:  CUDA_Host compute buffer size =     0.93 MiB | ~llama_context:      CUDA0 compute buffer size is  25.0387 MiB, matches expectation of  25.0387 MiB | ~llama_context:  CUDA_Host compute buffer size is   0.9251 MiB, matches expectation of   0.9251 MiB"
