evidence_source,record_type,context_label,n_ctx,prompt_or_state_tokens,mode,run_purpose,kv_profile,cache_type_k,cache_type_v,expert_pool_gib,n_batch,n_ubatch,cuda_model_buffer_mib,cuda_kv_buffer_mib,cuda_recurrent_state_mib,cuda_kv_and_recurrent_mib,cuda_compute_buffer_mib,cuda_host_compute_buffer_mib,resource_samples,baseline_gpu_mem_used_mib,peak_gpu_mem_used_mib,peak_incremental_gpu_mem_mib,gpu_mem_total_mib,min_gpu_headroom_mib,peak_working_set_gib,peak_cpu_percent,peak_gpu_util_percent,source_path,resource_path,stderr_path
Measured,roundtrip_allocation,64k,65536,64491,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,8192,8192,4459.62,594.01,112.57,706.5799999999999,9515.13,1697.89,,,,,,,,,,64k/kv-roundtrip/q4-q4/roundtrip.json,,64k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,resource_sample,64k,65536,64491,hybrid-fixed-cache,vram-safe-u16,q8-q4,q8_0,q4_0,8,2048,16,13008.91,834.01,112.57,946.5799999999999,141.35,7.06,67,204.0,14594.0,14390.0,16376.0,1782.0,17.167,76.69,97.0,64k/vram-safe-u16/q8-q4-pool8g-run-1.json,64k/vram-safe-u16/q8-q4-pool8g-run-1.resources.csv,64k/vram-safe-u16/q8-q4-pool8g-run-1.stderr.log
Measured,roundtrip_allocation,64k,65536,64491,roundtrip,kv-roundtrip/q8-q4,q8-q4,q8_0,q4_0,,8192,8192,4459.62,834.01,112.57,946.5799999999999,9515.13,1697.89,,,,,,,,,,64k/kv-roundtrip/q8-q4/roundtrip.json,,64k/kv-roundtrip/q8-q4/roundtrip.stderr.log
Measured,resource_sample,64k,65536,64491,hybrid-fixed-cache,vram-safe-u16,q8-q8,q8_0,q8_0,8,2048,16,13008.91,1122.01,112.57,1234.58,141.35,7.06,67,207.0,14882.0,14675.0,16376.0,1494.0,17.269,77.35,65.0,64k/vram-safe-u16/q8-q8-pool8g-run-1.json,64k/vram-safe-u16/q8-q8-pool8g-run-1.resources.csv,64k/vram-safe-u16/q8-q8-pool8g-run-1.stderr.log
Measured,roundtrip_allocation,64k,65536,64491,roundtrip,kv-roundtrip/q8-q8,q8-q8,q8_0,q8_0,,8192,8192,4459.62,1122.01,112.57,1234.58,9515.13,1697.89,,,,,,,,,,64k/kv-roundtrip/q8-q8/roundtrip.json,,64k/kv-roundtrip/q8-q8/roundtrip.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,batch-capacity-probes/f16-f16-b4096,f16-f16,f16,f16,,4096,4096,4459.62,4224.0,112.57,4336.57,7486.56,1617.94,,,,,,,,,,128k/batch-capacity-probes/f16-f16-b4096/probe.json,,128k/batch-capacity-probes/f16-f16-b4096/probe.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,capacity-probes/f16-f16,f16-f16,f16,f16,,1,1,4459.62,4224.0,112.57,4336.57,98.19,2.07,,,,,,,,,,128k/capacity-probes/f16-f16/probe.json,,128k/capacity-probes/f16-f16/probe.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,safe-batch-probes/f16-f16-b2048,f16-f16,f16,f16,,2048,2048,4459.62,4224.0,112.57,4336.57,4168.28,809.72,,,,,,,,,,128k/safe-batch-probes/f16-f16-b2048/probe.json,,128k/safe-batch-probes/f16-f16-b2048/probe.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,safe-batch-probes/f16-f16-b3072,f16-f16,f16,f16,,3072,3072,4459.62,4224.0,112.57,4336.57,5827.42,1213.83,,,,,,,,,,128k/safe-batch-probes/f16-f16-b3072/probe.json,,128k/safe-batch-probes/f16-f16-b3072/probe.stderr.log
Measured,resource_sample,128k,131072,130027,roundtrip,kv-roundtrip/f16-f16,f16-f16,f16,f16,,3072,3072,4459.62,4224.0,112.57,4336.57,5827.42,1213.83,265,487.0,15447.0,14960.0,16376.0,929.0,56.441,,100.0,128k/kv-roundtrip/f16-f16/roundtrip.json,128k/kv-roundtrip/f16-f16/resources.csv,128k/kv-roundtrip/f16-f16/roundtrip.stderr.log
Measured,resource_sample,128k,131072,130027,hybrid-fixed-cache,vram-safe-u16,f16-f16,f16,f16,6,2048,16,10866.63,4224.0,112.57,4336.57,108.1,10.55,70,204.0,15745.0,15541.0,16376.0,631.0,14.451,78.06,99.0,128k/vram-safe-u16/f16-f16-pool6g-run-1.json,128k/vram-safe-u16/f16-f16-pool6g-run-1.resources.csv,128k/vram-safe-u16/f16-f16-pool6g-run-1.stderr.log
Measured,roundtrip_allocation,128k,131072,130027,roundtrip,kv-roundtrip/f16-f16,f16-f16,f16,f16,,3072,3072,4459.62,4224.0,112.57,4336.57,5827.42,1213.83,,,,,,,,,,128k/kv-roundtrip/f16-f16/roundtrip.json,,128k/kv-roundtrip/f16-f16/roundtrip.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,batch-capacity-probes/q4-q4-b8192,q4-q4,q4_0,q4_0,,8192,8192,4459.62,1188.01,112.57,1300.58,16171.13,3234.64,,,,,,,,,,128k/batch-capacity-probes/q4-q4-b8192/probe.json,,128k/batch-capacity-probes/q4-q4-b8192/probe.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,capacity-probes/q4-q4,q4-q4,q4_0,q4_0,,1,1,4459.62,1188.01,112.57,1300.58,98.44,2.33,,,,,,,,,,128k/capacity-probes/q4-q4/probe.json,,128k/capacity-probes/q4-q4/probe.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,safe-batch-probes/q4-q4-b4096,q4-q4,q4_0,q4_0,,4096,4096,4459.62,1188.01,112.57,1300.58,7486.56,1618.2,,,,,,,,,,128k/safe-batch-probes/q4-q4-b4096/probe.json,,128k/safe-batch-probes/q4-q4-b4096/probe.stderr.log
Measured,resource_sample,128k,131072,130027,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,4096,4096,4459.62,1188.01,112.57,1300.58,7486.56,1618.2,249,487.0,14075.0,13588.0,16376.0,2301.0,56.83,,100.0,128k/kv-roundtrip/q4-q4/roundtrip.json,128k/kv-roundtrip/q4-q4/resources.csv,128k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,resource_sample,128k,131072,130027,hybrid-fixed-cache,vram-safe-u16,q4-q4,q4_0,q4_0,8,2048,16,13008.91,1188.01,112.57,1300.58,276.97,10.81,72,204.0,15085.0,14881.0,16376.0,1291.0,16.115,77.63,75.0,128k/vram-safe-u16/q4-q4-pool8g-run-1.json,128k/vram-safe-u16/q4-q4-pool8g-run-1.resources.csv,128k/vram-safe-u16/q4-q4-pool8g-run-1.stderr.log
Measured,roundtrip_allocation,128k,131072,130027,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,4096,4096,4459.62,1188.01,112.57,1300.58,7486.56,1618.2,,,,,,,,,,128k/kv-roundtrip/q4-q4/roundtrip.json,,128k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,batch-capacity-probes/q8-q4-b8192,q8-q4,q8_0,q4_0,,8192,8192,4459.62,1668.01,112.57,1780.58,16171.13,3234.64,,,,,,,,,,128k/batch-capacity-probes/q8-q4-b8192/probe.json,,128k/batch-capacity-probes/q8-q4-b8192/probe.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,capacity-probes/q8-q4,q8-q4,q8_0,q4_0,,1,1,4459.62,1668.01,112.57,1780.58,98.44,2.33,,,,,,,,,,128k/capacity-probes/q8-q4/probe.json,,128k/capacity-probes/q8-q4/probe.stderr.log
Measured,capacity_probe_allocation,128k,131072,2,cold-only,safe-batch-probes/q8-q4-b4096,q8-q4,q8_0,q4_0,,4096,4096,4459.62,1668.01,112.57,1780.58,7486.56,1618.2,,,,,,,,,,128k/safe-batch-probes/q8-q4-b4096/probe.json,,128k/safe-batch-probes/q8-q4-b4096/probe.stderr.log
Measured,resource_sample,128k,131072,130027,hybrid-fixed-cache,vram-safe-u16,q8-q4,q8_0,q4_0,8,2048,16,13008.91,1668.01,112.57,1780.58,276.97,10.81,72,204.0,15565.0,15361.0,16376.0,811.0,16.193,76.94,97.0,128k/vram-safe-u16/q8-q4-pool8g-run-1.json,128k/vram-safe-u16/q8-q4-pool8g-run-1.resources.csv,128k/vram-safe-u16/q8-q4-pool8g-run-1.stderr.log
