run,token_index,context_tokens,decode_ms,sampling_ms,loop_ms
0,152,391,80.2774,1.2342,81.5116
0,153,392,78.3708,1.4547,79.8255
0,154,393,79.2422,1.2283,80.4705
0,155,394,73.8685,1.5434,75.4119
0,156,395,74.6488,1.2259,75.8747
0,157,396,82.8519,1.5036,84.3555
0,158,397,75.2177,2.4013,77.619
0,159,398,78.244,1.498,79.742
0,160,399,81.5807,2.4823,84.063
0,161,400,82.5561,1.8328,84.3889
0,162,401,79.5615,1.4275,80.989
0,163,402,76.9644,2.1537,79.1181
0,164,403,80.9644,2.412,83.3764
0,165,404,75.035,1.7173,76.7523
0,166,405,81.6462,1.839,83.4852
0,167,406,78.0764,1.411,79.4874
0,168,407,87.2534,1.2299,88.4833
0,169,408,77.2123,1.2562,78.4685
0,170,409,87.3439,1.2281,88.572
0,171,410,76.6256,1.2427,77.8683
0,172,411,83.4149,1.3321,84.747
0,173,412,81.9735,1.2986,83.2721
0,174,413,85.4444,1.446,86.8904
0,175,414,84.0569,1.2321,85.289
0,176,415,74.2564,1.3247,75.5811
0,177,416,77.401,1.2062,78.6072
0,178,417,80.0452,2.4366,82.4818
0,179,418,75.7889,1.377,77.1659
0,180,419,79.2297,1.2792,80.5089
0,181,420,78.745,1.4714,80.2164
0,182,421,73.744,1.3834,75.1274
0,183,422,78.3032,1.7229,80.0261
0,184,423,75.8704,1.9627,77.8331
0,185,424,76.4245,2.3449,78.7694
0,186,425,74.0098,1.2816,75.2914
0,187,426,68.8351,1.2244,70.0595
0,188,427,73.9382,1.9382,75.8764
0,189,428,79.8946,1.5999,81.4945
0,190,429,76.934,1.5849,78.5189
0,191,430,76.1673,2.2703,78.4376
0,192,431,75.6907,2.2618,77.9525
0,193,432,73.0019,1.2183,74.2202
0,194,433,74.1007,1.8173,75.918
0,195,434,78.978,1.3193,80.2973
0,196,435,71.548,1.2893,72.8373
0,197,436,83.73,2.4084,86.1384
0,198,437,81.0887,2.3192,83.4079
0,199,438,83.4662,1.8241,85.2903
0,200,439,78.4421,2.1075,80.5496
0,201,440,86.1924,1.2515,87.4439
0,202,441,82.6357,2.4009,85.0366
0,203,442,75.621,2.1209,77.7419
0,204,443,76.0053,1.8741,77.8794
0,205,444,76.4498,2.3534,78.8032
0,206,445,80.3959,1.2813,81.6772
0,207,446,79.2437,1.2267,80.4704
0,208,447,81.0051,1.9308,82.9359
0,209,448,79.8715,1.3866,81.2581
0,210,449,72.9925,1.497,74.4895
0,211,450,76.4301,1.2542,77.6843
0,212,451,79.3348,1.9427,81.2775
0,213,452,78.1005,1.2237,79.3242
0,214,453,76.5451,1.2515,77.7966
0,215,454,79.9662,2.2986,82.2648
0,216,455,77.7415,1.2272,78.9687
0,217,456,80.3121,1.6206,81.9327
0,218,457,77.7194,1.4189,79.1383
0,219,458,78.2822,1.2636,79.5458
0,220,459,75.8744,1.2716,77.146
0,221,460,76.632,1.4695,78.1015
0,222,461,82.7068,2.1306,84.8374
0,223,462,76.6555,1.8962,78.5517
0,224,463,81.8508,1.1856,83.0364
0,225,464,76.5872,1.9934,78.5806
0,226,465,76.0098,1.4504,77.4602
0,227,466,73.2573,1.2742,74.5315
0,228,467,70.9001,1.4566,72.3567
0,229,468,78.2252,1.8865,80.1117
0,230,469,79.009,1.203,80.212
0,231,470,78.479,1.5034,79.9824
0,232,471,77.1006,1.9635,79.0641
0,233,472,71.4129,1.42,72.8329
0,234,473,77.1085,1.7308,78.8393
0,235,474,86.3804,1.9489,88.3293
0,236,475,88.5408,1.2836,89.8244
0,237,476,79.3536,2.3237,81.6773
0,238,477,73.4753,1.4883,74.9636
0,239,478,74.4797,1.3114,75.7911
0,240,479,74.688,2.0515,76.7395
0,241,480,73.3658,1.2841,74.6499
0,242,481,79.7466,1.4243,81.1709
0,243,482,78.3795,1.3114,79.6909
0,244,483,76.5511,1.45,78.0011
0,245,484,75.343,1.19,76.533
0,246,485,72.2604,1.2894,73.5498
0,247,486,71.9202,1.2708,73.191
0,248,487,77.2557,2.422,79.6777
0,249,488,79.2883,1.2808,80.5691
0,250,489,71.5153,1.2792,72.7945
0,251,490,80.8859,1.6914,82.5773
0,252,491,92.0471,1.6904,93.7375
0,253,492,84.8672,2.138,87.0052
0,254,493,70.9847,1.4751,72.4598
0,255,494,77.2609,1.6053,78.8662
0,256,495,73.8931,1.4385,75.3316
0,257,496,82.0457,1.5249,83.5706
0,258,497,89.9413,1.4588,91.4001
0,259,498,82.6356,1.3217,83.9573
0,260,499,81.4771,1.8435,83.3206
0,261,500,82.5055,1.9734,84.4789
0,262,501,76.7701,2.1646,78.9347
0,263,502,86.4635,2.5126,88.9761
0,264,503,83.2013,1.6592,84.8605
0,265,504,85.6884,1.4905,87.1789
0,266,505,81.0217,1.8803,82.902
0,267,506,78.1956,1.4307,79.6263
0,268,507,81.8784,1.6788,83.5572
0,269,508,77.62,1.6706,79.2906
0,270,509,84.8304,1.8442,86.6746
0,271,510,85.5913,2.2252,87.8165
0,272,511,88.2336,1.8462,90.0798
0,273,512,79.8083,2.4086,82.2169
0,274,513,85.2818,1.5281,86.8099
0,275,514,77.1735,2.3301,79.5036
0,276,515,85.4614,1.6652,87.1266
0,277,516,79.3093,1.7603,81.0696
0,278,517,74.2049,1.9733,76.1782
0,279,518,82.2712,1.3486,83.6198
0,280,519,78.2119,1.2704,79.4823
0,281,520,69.4367,1.4626,70.8993
0,282,521,79.1182,1.6568,80.775
0,283,522,79.9513,1.2195,81.1708
0,284,523,78.2019,1.2408,79.4427
0,285,524,76.9881,1.3039,78.292
0,286,525,81.443,1.3996,82.8426
0,287,526,83.5847,2.1664,85.7511
0,288,527,77.514,1.363,78.877
0,289,528,74.2532,2.3548,76.608
0,290,529,73.5283,1.2675,74.7958
0,291,530,74.3349,1.7793,76.1142
0,292,531,81.5947,1.7181,83.3128
0,293,532,75.5865,1.8123,77.3988
0,294,533,81.8986,1.7299,83.6285
0,295,534,72.5464,1.3119,73.8583
0,296,535,73.325,2.2209,75.5459
0,297,536,71.356,1.3777,72.7337
0,298,537,77.0225,1.233,78.2555
