"elapsed_s","gpu_util_percent","gpu_mem_used_mib","gpu_mem_total_mib","working_set_gib"
"0.1","30","13923","16376","41.108"
"1.19","47","13923","16376","41.924"
"2.29","51","13923","16376","42.404"
"3.37","51","13969","16376","42.694"
"4.46","49","13969","16376","43.06"
"5.55","54","13969","16376","43.3"
"6.63","34","14015","16376","43.953"
"7.72","42","14015","16376","45.472"
"8.81","48","14015","16376","46.465"
"9.9","50","14015","16376","46.92"
"10.98","50","14015","16376","47.319"
"12.06","87","14059","16376","47.777"
"13.15","53","14059","16376","47.953"
"14.25","47","14059","16376","48.097"
"15.33","49","14059","16376","48.233"
"16.42","60","14105","16376","48.461"
"17.5","54","14105","16376","48.525"
"18.59","59","14105","16376","48.597"
"19.67","65","14149","16376","48.695"
"20.76","57","14149","16376","48.752"
"21.84","60","14153","16376","48.785"
"22.92","55","14153","16376","48.834"
"24.01","58","14153","16376","48.856"
"25.1","52","14153","16376","49.062"
"26.19","49","14153","16376","49.118"
"27.27","53","14153","16376","49.17"
"28.35","65","14153","16376","49.197"
"29.43","54","14153","16376","49.208"
"30.52","76","14153","16376","49.227"
"31.6","60","14153","16376","49.246"
"32.67","64","14153","16376","49.261"
"33.76","68","14153","16376","49.383"
"34.84","56","14153","16376","49.404"
"35.92","71","14153","16376","49.458"
"37.02","54","14153","16376","49.489"
"38.1","58","14153","16376","49.517"
"39.18","72","14153","16376","49.566"
"40.27","55","14153","16376","49.579"
"41.36","59","14153","16376","49.588"
"42.44","54","14153","16376","49.614"
"43.53","55","14153","16376","49.627"
"44.62","90","14153","16376","49.634"
"45.71","55","14153","16376","49.65"
"46.79","56","14153","16376","49.662"
"47.88","62","14153","16376","49.671"
"48.97","70","14153","16376","49.682"
"50.05","65","14153","16376","49.777"
"51.13","54","14153","16376","49.806"
"52.22","59","14153","16376","49.826"
"53.31","81","14153","16376","49.849"
"54.39","55","14153","16376","49.857"
"55.49","59","14153","16376","49.872"
"56.57","63","14153","16376","49.879"
"57.65","55","14153","16376","49.883"
"58.73","46","14153","16376","50.342"
"59.82","53","14153","16376","50.849"
"60.91","65","14153","16376","51.075"
"61.99","57","14153","16376","51.13"
"63.07","52","14153","16376","51.216"
"64.15","77","14153","16376","51.336"
"65.24","53","14153","16376","51.371"
"66.33","56","14153","16376","51.386"
"67.4","71","14153","16376","51.411"
"68.49","69","14153","16376","51.45"
"69.57","58","14153","16376","51.457"
"70.65","68","14153","16376","51.471"
"71.74","58","14153","16376","51.483"
"72.83","53","14153","16376","51.484"
"73.92","57","14153","16376","51.492"
"75","77","14153","16376","51.492"
"76.08","53","14153","16376","51.498"
"77.17","53","14153","16376","51.499"
"78.25","74","14153","16376","51.51"
"79.33","55","14153","16376","51.517"
"80.42","73","14153","16376","51.563"
"81.5","57","14153","16376","51.597"
"82.59","57","14153","16376","51.601"
"83.67","53","14153","16376","51.606"
"84.76","72","14153","16376","51.613"
"85.84","57","14153","16376","51.618"
"86.92","92","14153","16376","51.622"
"88.01","59","14153","16376","51.631"
"89.09","76","14153","16376","51.634"
"90.18","58","14153","16376","51.636"
"91.26","73","14153","16376","51.649"
"92.34","57","14153","16376","51.655"
"93.42","87","14153","16376","51.655"
"94.51","67","14153","16376","51.657"
"95.59","59","14153","16376","51.657"
"96.68","79","14153","16376","51.675"
"97.77","57","14153","16376","51.68"
"98.86","77","14153","16376","51.685"
"99.94","55","14153","16376","51.687"
"101.03","79","14153","16376","51.689"
"102.12","89","14153","16376","51.692"
"103.2","70","14153","16376","51.694"
"104.28","61","14153","16376","51.698"
"105.37","66","14153","16376","51.728"
"106.45","58","14153","16376","51.733"
"107.53","77","14153","16376","51.749"
"108.61","63","14153","16376","51.763"
"109.7","75","14153","16376","51.765"
"110.8","63","14153","16376","51.769"
"111.88","80","14153","16376","51.772"
"112.96","79","14153","16376","51.775"
"114.04","71","14153","16376","51.782"
"115.13","63","14153","16376","51.786"
"116.21","80","14153","16376","51.791"
"117.29","40","14153","16376","51.791"
